 Procedimentos hospitalares do SUS - por local de internação - São Paulo
AIH aprovadas por Ano/mês atendimento e Forma organização
Município: 355410 TAUBATE
Forma organização: 030301 Tratamento de doenças infecciosas e parasitárias, 030302 Tratamento de doenças do sangue, orgãos hematopoéticos e alguns transtornos imunitários, 030303 Tratamento de doenças endocrinas, metabólicas e nutricionais, 030304 Tratamento de doenças do sistema nervoso central e periférico, 030305 Tratamento de doenças do aparelho da visão, 030306 Tratamento de doenças cardiovasculares, 030307 Tratamento de doenças do aparelho digestivo, 030308 Tratamento de doenças da pele e do tecido  subcutâneo, 030309 Tratamento de doenças do sistema osteomuscular e do tecido conjuntivo, 030310 Tratamento durante a gestação, parto e puerpério, 030311 Tratamento de malformações congênitas, deformidades e anomalias cromossômicas, 030312 Tratamentos por medicina nuclear in vivo, 030313 Tratamento de pacientes sob cuidados prolongados, 030314 Tratamento de doenças do ouvido/apófise mastóide e vias aéreas, 030315 Tratamento das doenças do aparelho geniturinário, 030316 Tratamento de algumas afecçõess originadas no período neonatal, 030317 Tratamento dos transtornos mentais e comportamentais, 030318 Tratamento HIV/Aids, 030501 Tratamento dialítico, 030502 Tratamento em nefrologia em geral, 040305 Tratamento neurocirúrgico da dor funcional, 040307 Tratamento neuro-endovascular, 041301 Tratamento de queimados, 060440 Medicamentos para tratamento da hipercalemia e hiperfosfatemia, 060459 Retinóides para tratamento da acne, 060460 Retinóides para tratamento da psoríase
Período:2019-2022
"Ano/mês atendimento";"030301 Tratamento de doenças infecciosas e parasitárias";"030302 Tratamento de doenças do sangue, orgãos hematopoéticos e alguns transtornos imunitários";"030303 Tratamento de doenças endocrinas, metabólicas e nutricionais";"030304 Tratamento de doenças do sistema nervoso central e periférico";"030305 Tratamento de doenças do aparelho da visão";"030306 Tratamento de doenças cardiovasculares";"030307 Tratamento de doenças do aparelho digestivo";"030308 Tratamento de doenças da pele e do tecido  subcutâneo";"030309 Tratamento de doenças do sistema osteomuscular e do tecido conjuntivo";"030310 Tratamento durante a gestação, parto e puerpério";"030311 Tratamento de malformações congênitas, deformidades e anomalias cromossômicas";"030314 Tratamento de doenças do ouvido/apófise mastóide e vias aéreas";"030315 Tratamento das doenças do aparelho geniturinário";"030316 Tratamento de algumas afecçõess originadas no período neonatal";"030317 Tratamento dos transtornos mentais e comportamentais";"030318 Tratamento HIV/Aids";"030501 Tratamento dialítico";"030502 Tratamento em nefrologia em geral";"040305 Tratamento neurocirúrgico da dor funcional";"Total"
"..Setembro/2020";73;12;8;36;1;49;54;4;-;41;1;160;32;29;1;-;4;15;-;520
"..Outubro/2020";72;12;10;57;-;55;71;11;1;41;1;133;42;25;-;3;2;13;1;550
"..Novembro/2020";55;13;10;58;1;47;65;6;1;47;1;130;32;26;-;-;2;19;-;513
"..Dezembro/2020";83;10;11;58;1;53;68;5;4;55;1;127;26;31;-;1;6;9;-;549
"2021";2401;115;69;541;15;549;624;112;39;509;13;1397;357;300;73;8;32;186;22;7362
"  Janeiro/2021";130;13;6;48;-;34;45;11;-;36;2;127;22;20;-;3;4;12;-;513
"  Fevereiro/2021";91;6;4;42;-;35;52;12;3;36;1;129;34;25;-;-;2;9;1;482
"  Março/2021";237;6;2;48;-;54;44;6;5;43;4;162;28;23;-;-;4;15;-;681
"  Abril/2021";299;6;3;60;1;29;49;4;2;44;2;151;25;23;-;-;2;15;-;715
"  Maio/2021";515;9;5;44;2;50;43;5;6;39;-;126;23;27;-;1;2;15;-;912
"  Junho/2021";528;12;5;38;3;31;46;6;6;46;1;97;18;28;4;-;1;20;-;890
"  Julho/2021";272;9;9;40;1;52;49;8;3;51;1;133;24;32;9;1;2;16;1;713
"  Agosto/2021";114;12;10;49;-;53;50;17;1;43;-;106;30;27;13;2;4;19;6;556
"  Setembro/2021";77;13;6;54;2;51;60;13;-;44;1;80;39;27;11;-;5;17;3;503
"  Outubro/2021";32;10;6;33;3;61;72;13;1;44;-;82;40;26;11;-;1;15;3;453
"  Novembro/2021";16;10;8;45;2;49;60;10;4;44;1;105;42;25;14;1;3;19;4;462
"  Dezembro/2021";90;9;5;40;1;50;54;7;8;39;-;99;32;17;11;-;2;14;4;482
"2022";1206;148;118;470;34;700;810;105;56;602;8;731;263;351;191;7;11;258;32;6101
"..Janeiro/2022";232;9;9;53;4;50;64;11;5;54;2;76;35;37;7;-;1;22;2;673
"..Fevereiro/2022";149;12;13;37;2;56;61;4;13;38;1;30;30;33;16;-;1;28;3;527
"..Março/2022";111;9;17;39;2;62;77;12;2;49;-;56;24;29;20;-;2;19;3;533
"..Abril/2022";101;10;11;34;6;60;69;12;2;51;2;68;20;38;14;-;1;15;1;515
"..Maio/2022";86;13;10;47;5;61;64;8;6;57;-;76;21;36;20;-;1;22;1;534
"..Junho/2022";91;14;9;49;3;63;75;10;5;48;1;75;15;23;19;1;-;21;3;525
"..Julho/2022";74;18;6;26;2;60;73;3;5;48;1;54;27;41;25;1;-;20;4;488
"..Agosto/2022";82;13;5;37;2;67;77;10;2;60;-;65;19;28;15;2;-;32;1;517
"..Setembro/2022";75;12;4;36;1;54;45;11;10;50;1;64;18;20;15;1;1;19;-;437
"..Outubro/2022";86;14;14;43;2;76;68;9;3;55;-;50;25;22;19;-;2;21;4;513
"..Novembro/2022";76;13;9;38;3;61;73;10;1;50;-;67;17;31;16;2;2;23;7;499
"..Dezembro/2022";43;11;11;31;2;30;64;5;2;42;-;50;12;13;5;-;-;16;3;340
"Total";4575;557;354;2346;66;2459;3019;455;150;2360;58;4074;1386;1240;434;37;98;1174;115;24957
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
