 Procedimentos hospitalares do SUS - por local de internação - São Paulo
Valor total por Ano/mês atendimento e Forma organização
Município: 355410 TAUBATE
Forma organização: 030301 Tratamento de doenças infecciosas e parasitárias, 030302 Tratamento de doenças do sangue, orgãos hematopoéticos e alguns transtornos imunitários, 030303 Tratamento de doenças endocrinas, metabólicas e nutricionais, 030304 Tratamento de doenças do sistema nervoso central e periférico, 030305 Tratamento de doenças do aparelho da visão, 030306 Tratamento de doenças cardiovasculares, 030307 Tratamento de doenças do aparelho digestivo, 030308 Tratamento de doenças da pele e do tecido  subcutâneo, 030309 Tratamento de doenças do sistema osteomuscular e do tecido conjuntivo, 030310 Tratamento durante a gestação, parto e puerpério, 030311 Tratamento de malformações congênitas, deformidades e anomalias cromossômicas, 030312 Tratamentos por medicina nuclear in vivo, 030313 Tratamento de pacientes sob cuidados prolongados, 030314 Tratamento de doenças do ouvido/apófise mastóide e vias aéreas, 030315 Tratamento das doenças do aparelho geniturinário, 030316 Tratamento de algumas afecçõess originadas no período neonatal, 030317 Tratamento dos transtornos mentais e comportamentais, 030318 Tratamento HIV/Aids, 030501 Tratamento dialítico, 030502 Tratamento em nefrologia em geral, 040305 Tratamento neurocirúrgico da dor funcional, 040307 Tratamento neuro-endovascular, 041301 Tratamento de queimados, 060440 Medicamentos para tratamento da hipercalemia e hiperfosfatemia, 060459 Retinóides para tratamento da acne, 060460 Retinóides para tratamento da psoríase
Período:2019-2022
"Ano/mês atendimento";"030301 Tratamento de doenças infecciosas e parasitárias";"030302 Tratamento de doenças do sangue, orgãos hematopoéticos e alguns transtornos imunitários";"030303 Tratamento de doenças endocrinas, metabólicas e nutricionais";"030304 Tratamento de doenças do sistema nervoso central e periférico";"030305 Tratamento de doenças do aparelho da visão";"030306 Tratamento de doenças cardiovasculares";"030307 Tratamento de doenças do aparelho digestivo";"030308 Tratamento de doenças da pele e do tecido  subcutâneo";"030309 Tratamento de doenças do sistema osteomuscular e do tecido conjuntivo";"030310 Tratamento durante a gestação, parto e puerpério";"030311 Tratamento de malformações congênitas, deformidades e anomalias cromossômicas";"030314 Tratamento de doenças do ouvido/apófise mastóide e vias aéreas";"030315 Tratamento das doenças do aparelho geniturinário";"030316 Tratamento de algumas afecçõess originadas no período neonatal";"030317 Tratamento dos transtornos mentais e comportamentais";"030318 Tratamento HIV/Aids";"030501 Tratamento dialítico";"030502 Tratamento em nefrologia em geral";"040305 Tratamento neurocirúrgico da dor funcional";"Total"
"..Julho/2019";60615,78;7258,66;3572,42;84468,22;229,90;95893,09;85526,52;2237,84;299,34;14881,88;1876,35;194960,40;21487,61;236694,48;15441,20;875,44;3587,26;171904,90;4548,54;1006359,83
"..Agosto/2019";101546,74;26319,03;31221,80;69972,58;414,09;152132,76;68699,18;15326,06;820,05;12125,32;12588,41;242291,05;46756,44;157772,57;18820,27;1946,29;209,94;188298,82;3138,69;1150400,09
"..Setembro/2019";151982,60;6761,41;9380,76;46857,24;229,90;149567,65;63616,21;5610,48;-;16211,08;28094,90;136821,86;87577,07;235747,23;16548,05;1005,63;5222,57;89017,80;4548,54;1054800,98
"..Outubro/2019";19217,97;20931,45;47931,68;162929,35;459,80;126861,56;64881,91;4610,94;688,70;14942,04;12952,95;229371,92;41921,92;148686,39;14775,00;583,27;250,31;175108,61;4548,54;1091654,31
"..Novembro/2019";18691,09;15021,31;9310,08;120411,44;-;107425,70;61041,04;21126,25;1126,67;11861,97;9353,01;186265,89;26188,34;221864,84;9840,20;2735,29;2552,62;68043,52;3596,65;896455,91
"..Dezembro/2019";124935,00;14256,39;6091,14;67818,87;-;110857,23;34979,13;11513,76;-;10823,43;2175,93;202183,96;32418,46;268359,00;14085,79;573,25;9687,73;101651,48;-;1012410,55
"2020";4860354,19;91225,30;237791,84;1287950,33;2665,04;1466737,06;909067,05;50879,16;8203,49;186729,99;92770,86;3825386,68;522579,52;2779530,32;43458,23;13355,39;58385,18;769780,55;5499,19;17212349,37
"..Janeiro/2020";41046,97;6772,10;10473,31;68938,14;-;95909,31;42766,81;5892,81;3484,38;17341,46;-;272661,69;42189,05;188220,62;18593,89;1243,00;2003,67;147915,23;942,65;966395,09
"..Fevereiro/2020";97049,98;6742,34;6902,33;86283,68;-;121448,09;35515,37;4607,93;905,51;15327,98;3123,60;109084,78;44012,46;263589,36;13216,70;-;20565,06;83864,68;3040,36;915280,21
"..Março/2020";136836,14;2506,17;30274,57;94242,26;414,09;155840,97;57427,54;3216,23;451,48;12337,37;6265,49;132425,05;14726,50;227945,05;10727,00;-;300,66;85788,99;-;971725,56
"..Abril/2020";191283,55;2898,10;1607,89;171611,97;-;45200,57;30003,13;2444,75;250,88;7555,49;-;325227,60;39898,20;312812,23;-;-;10808,60;63627,06;-;1205230,02
"..Maio/2020";347302,68;11115,76;49611,61;78889,31;-;123084,57;59029,96;5857,74;-;13423,73;8117,76;357536,59;111541,57;209702,40;196,20;987,69;509,01;61931,68;-;1438838,26
"..Junho/2020";434656,77;11296,56;14478,29;103833,44;280,27;106991,76;118668,75;7884,12;835,11;7170,66;-;243521,53;29725,54;307540,23;-;-;539,90;106492,53;-;1493915,46
"..Julho/2020";899036,07;5346,05;9265,49;123007,31;1127,57;176496,60;148629,06;4531,70;157,73;9967,94;3497,28;290170,01;38923,82;144936,60;-;-;1618,84;98748,84;-;1955460,91
"..Agosto/2020";564567,49;3601,81;15693,91;101222,67;-;210702,26;73598,35;5599,10;322,35;9549,02;13165,04;433500,13;45483,21;147788,90;-;-;-;43709,76;-;1668504,00
"..Setembro/2020";540459,45;12260,85;26153,60;46686,54;237,90;144459,05;92732,47;1576,51;-;12599,98;1086,07;614484,50;46094,80;209705,18;724,44;-;4878,65;13377,90;-;1767517,89
"..Outubro/2020";522498,11;9197,01;37053,04;229892,58;-;124462,06;51398,24;3377,05;534,81;10121,44;15358,77;416055,34;33372,78;256790,99;-;9158,73;1350,75;22743,16;1516,18;1744881,04
"..Novembro/2020";371073,42;11442,70;18557,42;131885,16;367,31;45258,83;114912,68;2996,25;165,73;16342,31;1967,02;431977,71;57090,16;257834,89;-;-;3361,88;17764,59;-;1482998,06
"..Dezembro/2020";714543,56;8045,85;17720,38;51457,27;237,90;116882,99;84384,69;2894,97;1095,51;54992,61;40189,83;198741,75;19521,43;252663,87;-;1965,97;12448,16;23816,13;-;1601602,87
"2021";17060661,31;156470,30;95583,70;1045618,18;6591,39;1259269,00;676535,39;110964,52;13109,36;163664,12;124907,52;4766050,94;423174,39;2422886,41;447,00;48795,67;31458,45;324744,18;28259,72;28759191,55
"  Janeiro/2021";1234519,50;16901,53;8685,42;51059,72;-;71002,57;31660,79;34111,28;-;9962,89;1341,75;231483,61;10322,95;194483,44;-;25564,13;10533,49;5659,76;-;1937292,83
"  Fevereiro/2021";663960,41;3057,24;2418,39;63180,55;-;123012,37;46006,25;6351,93;1130,82;7807,26;826,38;155370,47;60631,72;233867,57;-;-;161,54;7786,53;1516,18;1377085,61
"  Março/2021";2456334,03;8829,42;2563,08;70129,69;-;131958,46;44540,29;9602,78;1888,20;12148,15;54815,25;321098,61;21998,36;199123,11;-;-;5011,68;15432,85;-;3355473,96
"  Abril/2021";2542823,72;6226,68;5820,19;172077,66;229,90;34037,62;46715,51;1310,10;1408,07;38125,28;15865,53;285917,70;15247,77;287305,74;-;-;161,54;50642,02;-;3503915,03
"  Maio/2021";3145038,02;4714,14;9240,17;81043,66;607,61;111326,58;44456,67;9368,28;1675,36;8968,80;-;331192,44;28709,71;116274,34;-;5884,11;1088,32;53217,38;-;3952805,59
"  Junho/2021";3051211,57;11492,12;9826,76;68553,67;1106,26;40080,17;60793,35;7434,92;1264,50;20178,53;45363,36;290872,88;10598,39;208920,60;-;-;985,91;32576,89;-;3861259,88
"  Julho/2021";1983893,02;13282,99;9121,98;53750,13;313,90;87966,22;37309,94;3237,82;555,13;11992,05;476,55;744694,37;56235,33;339935,23;-;1022,23;5141,19;21084,46;1516,18;3371528,72
"  Agosto/2021";938123,99;9641,61;11138,12;90849,19;-;121766,35;88169,15;7748,57;190,70;14162,03;-;788587,57;46619,41;202113,96;-;11675,84;2624,98;58389,02;6155,24;2397955,73
"  Setembro/2021";479378,61;8037,97;6188,13;71831,87;844,43;180223,67;78451,88;16144,79;-;12002,11;5355,62;213396,30;37854,55;155690,80;-;-;1307,03;15699,04;5804,31;1288211,11
"  Outubro/2021";185847,59;11885,37;9859,17;69448,25;1000,58;177473,65;67786,86;6880,40;1412,78;10879,61;-;332671,38;72715,38;158721,22;-;-;621,39;32951,39;3565,26;1143720,28
"  Novembro/2021";74235,51;29795,62;17586,22;117607,63;657,98;69097,31;57708,59;5797,64;1368,50;8916,91;863,08;472583,22;34423,18;194393,89;390,00;4649,36;948,67;12670,29;4593,05;1108286,65
"  Dezembro/2021";305295,34;32605,61;3136,07;136086,16;1830,73;111324,03;72936,11;2976,01;2215,30;8520,50;-;598182,39;27817,64;132056,51;57,00;-;2872,71;18634,55;5109,50;1461656,16
"2022";3964824,81;164639,80;246690,43;1376381,95;9649,62;1425948,43;1042238,45;69529,96;29128,58;170263,35;69562,80;2196477,22;278318,22;3035535,96;-;22214,43;8917,28;681452,60;38787,85;14830561,74
"..Janeiro/2022";784079,26;14945,53;5729,72;145006,79;1309,78;128038,20;72180,87;5245,18;1016,85;12012,39;44910,42;321258,40;38685,29;245154,00;-;-;811,93;29461,49;2049,08;1851895,18
"..Fevereiro/2022";686070,93;7986,71;12060,92;84836,09;510,17;150100,22;77274,13;1910,56;5580,70;11841,98;16153,77;141256,79;85950,70;237590,10;-;-;89,16;30983,19;4056,90;1554253,02
"..Março/2022";488565,80;6290,18;24059,10;74785,01;811,75;116720,76;51034,16;7234,90;1148,53;12373,41;-;81101,83;14281,32;352647,22;-;-;1012,66;26290,54;3073,62;1261430,79
"..Abril/2022";337193,86;12574,37;28107,93;85898,55;1451,40;221799,71;120231,27;5137,27;1009,84;13946,45;6119,19;157085,78;10923,53;204100,06;-;-;1219,50;35132,61;1024,54;1242955,86
"..Maio/2022";323490,15;17685,14;35890,38;207497,50;1492,19;110857,76;153021,89;2608,91;3072,15;18167,59;-;291562,07;24794,39;346118,48;-;-;438,80;32583,78;1516,18;1570797,36
"..Junho/2022";238685,59;15355,23;41624,95;220697,68;756,07;121288,24;153044,30;8920,14;1854,08;22793,56;1071,37;221214,28;5706,41;266695,90;-;507,07;-;228472,91;3105,01;1551792,79
"..Julho/2022";169409,63;37924,73;8656,55;74901,93;527,66;97420,30;98261,32;1120,43;6724,53;15416,73;366,74;200393,74;23881,46;338750,35;-;1168,64;-;54173,33;4098,15;1133196,22
"..Agosto/2022";254084,65;12329,63;11126,35;97673,92;669,03;117287,86;59743,93;3953,44;530,76;16125,78;-;304717,06;11715,60;326249,20;-;4215,32;-;92230,40;564,29;1313217,22
"..Setembro/2022";150478,38;9028,41;8514,56;142643,86;229,90;96630,47;47453,29;19086,84;2983,04;11114,59;941,31;172493,15;7974,86;257681,27;-;16276,50;467,38;39345,94;-;983343,75
"..Outubro/2022";286682,49;7808,09;43708,14;149448,95;510,17;127696,81;88299,30;3749,71;2065,89;12390,24;-;124286,96;12173,47;249150,75;-;-;1251,82;33704,15;5573,08;1148500,02
"..Novembro/2022";149815,88;11548,93;11214,78;57152,50;753,70;101763,15;63840,95;9325,74;395,44;12153,17;-;121741,93;35819,84;176167,94;-;46,90;3626,03;62979,80;9629,98;827976,66
"..Dezembro/2022";96268,19;11162,85;15997,05;35839,17;627,80;36344,95;57853,04;1236,84;2746,77;11927,46;-;59365,23;6411,35;35230,69;-;-;-;16094,46;4097,02;391202,87
"Total";26734064,23;597394,89;736148,13;4934256,33;21371,15;5859274,38;3461422,11;343409,83;82961,24;729276,35;400728,92;13634097,34;1701348,88;11204150,11;169446,77;100775,19;126082,81;3380565,29;154431,19;74371205,14
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
