  Dados detalhados das AIH - por local internação - São Paulo
Quantidade aprovada por Procedimento e Ano/mês processamento
Município: 355410 TAUBATE
Procedimento Principal: 0211030058 AVALIAÇÃO DE FUNÇÃO E MECÂNICA RESPIRATÓRIA COM TRANSDUTORES MICROPROCESSADOS, 0214010163 TESTE RÁPIDO PARA DETECÇÃO DE SARS-COVID-2, 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19, 0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO, 0304010383 RADIOTERAPIA DE TRAQUEIA, BRÔNQUIO, PULMÃO, PLEURA E MEDIASTINO
Grupo Procedimento Principal: 03 Procedimentos clínicos, 04 Procedimentos cirúrgicos, 06 Medicamentos
Subgrupo Proced.Principal: 0101 Ações coletivas/individuais em saúde, 0201 Coleta de material, 0303 Tratamentos clínicos (outras especialidades), 0601 Medicamentos de dispensação excepcional, 0602 Medicamentos estratégicos, 0603 Medicamentos de âmbito hospitalar e urgência, 0801 Ações relacionadas ao estabelecimento, 0802 Ações relacionadas ao atendimento, 0803 Autorização / Regulação
Forma organização Principal: 020807 Aparelho respiratório, 020904 Aparelho respiratório, 021107 Diagnóstico em otorrinolaringologia/fonoaudiologia, 021108 Diagnóstico em pneumologia, 030101 Consultas médicas/outros profissionais  de nivel superior, 030103 Atendimento pré-hospitalar de urgência, 030104 Outros atendimentos realizados por profissionais de níveis superior, 030106 Consulta/Atendimento ás urgências (em geral), 030110 Atendimentos de enfermagem (em geral), 030301 Tratamento de doenças infecciosas e parasitárias, 030906 Acessos venosos, 041201 Traqueia e brônquios, 041205 Pulmão, 041613 Otorrinolaringologia
Período:2019-2022
"Procedimento";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"Total"
"0202010295 DOSAGEM DE COLESTEROL TOTAL";-;2;5;4;2;2;2;-;1;-;6;1;6;9;16;8;3;6;2;-;-;-;8;5;2;-;-;-;90
"0202010317 DOSAGEM DE CREATININA";5;123;259;614;881;508;1159;242;649;630;986;827;1804;1929;3661;2395;1914;917;388;216;85;325;805;253;137;6;166;64;21948
"0202010325 DOSAGEM DE CREATINOFOSFOQUINASE (CPK)";3;38;114;171;160;98;123;30;92;155;107;127;210;354;562;279;375;68;45;9;2;61;87;8;-;-;7;-;3285
"0202010333 DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB";-;-;-;-;-;-;-;-;-;-;-;-;-;-;204;88;243;22;18;7;-;34;52;4;-;-;-;-;672
"0202010368 DOSAGEM DE DESIDROGENASE LATICA";2;28;54;76;67;54;43;17;57;59;38;34;56;82;43;40;35;13;5;5;2;11;15;7;-;-;-;2;845
"0202010376 DOSAGEM DE DESIDROGENASE LATICA (ISOENZIMAS FRACIONADAS)";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202010384 DOSAGEM DE FERRITINA";-;-;9;29;37;13;28;5;17;21;30;12;26;33;27;23;32;11;4;3;1;2;7;4;1;-;-;1;376
"0202010392 DOSAGEM DE FERRO SERICO";-;-;-;2;2;2;1;1;2;3;5;3;3;11;10;10;12;2;2;3;-;-;5;1;1;-;-;1;82
"0202010406 DOSAGEM DE FOLATO";-;-;-;1;2;3;1;2;-;3;5;3;2;12;9;9;13;3;2;3;-;-;6;1;1;-;-;1;82
"0202010414 DOSAGEM DE FOSFATASE ACIDA TOTAL";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202010422 DOSAGEM DE FOSFATASE ALCALINA";2;13;21;22;36;12;24;4;22;16;11;39;44;27;75;35;62;16;6;4;-;13;24;7;-;1;1;2;539
"0202010430 DOSAGEM DE FOSFORO";-;8;25;45;105;61;154;23;45;68;81;28;121;161;153;131;104;125;23;22;21;35;46;8;18;-;51;16;1678
"0202010457 DOSAGEM DE GALACTOSE";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202010465 DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT)";1;13;26;33;38;18;32;8;31;35;29;52;59;58;107;59;84;18;8;4;-;17;31;10;-;1;1;2;775
"0202010473 DOSAGEM DE GLICOSE";-;13;46;106;125;75;159;32;69;74;116;94;222;197;300;201;156;47;31;34;3;30;80;21;8;1;2;10;2252
"0202010490 DOSAGEM DE HAPTOGLOBINA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202010503 DOSAGEM DE HEMOGLOBINA GLICOSILADA";1;2;3;6;10;2;1;-;5;8;5;19;15;13;10;15;14;5;2;2;-;-;3;-;2;-;1;-;144
"0202010538 DOSAGEM DE LACTATO";-;2;1;4;6;29;37;3;11;7;4;6;16;16;156;133;61;13;13;6;-;58;102;12;3;-;4;-;703
"0202010554 DOSAGEM DE LIPASE";-;-;-;-;2;-;1;-;-;1;-;-;1;5;6;2;2;2;-;-;-;1;-;-;-;-;-;-;23
"0202010562 DOSAGEM DE MAGNESIO";5;92;219;409;596;407;1002;202;531;433;737;544;1150;1098;1477;1150;758;506;248;145;46;134;317;95;80;3;111;48;12543
"0202010600 DOSAGEM DE POTASSIO";5;41;120;279;399;265;582;106;205;305;375;680;820;837;2447;1569;1108;498;280;114;79;287;637;118;46;1;97;39;12339
"0202010619 DOSAGEM DE PROTEINAS TOTAIS";-;-;-;-;-;-;-;-;-;-;-;22;4;1;1;2;1;-;-;-;-;-;1;1;-;-;-;-;33
"0202010627 DOSAGEM DE PROTEINAS TOTAIS E FRACOES";2;22;25;43;61;37;45;15;29;40;70;67;89;105;122;83;59;63;18;20;-;8;19;12;8;2;12;7;1083
"0202010635 DOSAGEM DE SODIO";5;41;119;272;384;255;571;100;195;285;358;277;786;810;2447;1549;1118;488;263;116;77;282;631;112;44;1;94;38;11718
"0202010643 DOSAGEM DE TRANSAMINASE GLUTAMICO-OXALACETICA (TGO)";4;44;85;98;100;52;86;19;67;75;82;107;183;227;439;237;356;80;24;13;2;41;62;17;2;1;3;3;2509
"0202010651 DOSAGEM DE TRANSAMINASE GLUTAMICO-PIRUVICA (TGP)";4;43;85;96;100;52;86;20;67;75;82;100;183;220;441;234;349;81;24;13;2;40;62;17;2;1;3;3;2485
"0202010660 DOSAGEM DE TRANSFERRINA";-;-;-;3;2;4;1;2;2;4;5;4;4;16;11;11;13;2;2;5;-;-;5;1;2;-;-;1;100
"0202010678 DOSAGEM DE TRIGLICERIDEOS";-;2;10;6;15;2;7;-;2;1;4;1;28;23;11;16;6;8;4;2;-;-;5;3;1;-;-;-;157
"0202010694 DOSAGEM DE UREIA";5;124;252;604;861;504;1145;240;651;621;985;823;1787;1916;3588;2366;1851;906;383;214;81;317;805;254;137;6;166;68;21660
"0202010708 DOSAGEM DE VITAMINA B12";-;1;-;2;2;3;1;2;3;3;5;3;2;11;9;9;13;3;2;4;-;-;7;1;1;-;-;1;88
"0202010724 ELETROFORESE DE PROTEINAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;1;-;-;1;1;-;-;-;1;7
"0202010732 GASOMETRIA (PH PCO2 PO2 BICARBONATO AS2 (EXCESSO OU DEFICIT BASE )";4;262;440;830;1226;765;1793;437;1039;940;1557;1252;2614;2702;4541;3000;2336;1085;463;284;41;363;889;288;187;10;209;73;29630
"0202010759 TESTE DE TOLERANCIA A INSULINA / HIPOGLICEMIANTES ORAIS";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202010767 DOSAGEM DE 25 HIDROXIVITAMINA D";-;-;1;3;4;4;8;2;4;4;14;2;6;3;6;1;5;2;1;-;-;-;-;-;-;-;-;-;70
"0202020029 CONTAGEM DE PLAQUETAS";-;1;-;1;2;2;6;1;1;-;2;1;-;7;235;135;164;16;19;3;1;65;106;8;-;-;-;1;777
"0202020037 CONTAGEM DE RETICULOCITOS";-;-;-;1;-;1;1;1;1;-;2;1;2;5;3;2;3;-;1;2;-;-;4;-;-;-;-;-;30
"0202020053 DETERMINACAO DE ENZIMAS ERITROCITARIAS (CADA)";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;6
"0202020134 DETERMINACAO DE TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA (TTP ATIVADA)";5;44;154;358;488;269;567;108;259;278;323;216;411;491;1281;723;703;242;145;47;20;164;314;64;25;1;46;7;7753
"0202020142 DETERMINACAO DE TEMPO E ATIVIDADE DA PROTROMBINA (TAP)";5;45;132;279;345;207;468;86;225;222;307;200;395;479;895;542;438;250;145;59;21;45;71;48;25;3;48;7;5992
"0202020150 DETERMINACAO DE VELOCIDADE DE HEMOSSEDIMENTACAO (VHS)";2;11;23;36;40;20;26;17;31;49;33;22;58;45;908;457;443;40;44;7;-;66;191;19;-;-;-;-;2588
"0202020169 DOSAGEM DE ANTICOAGULANTE CIRCULANTE";-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"0202020177 DOSAGEM DE ANTITROMBINA III";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202020290 DOSAGEM DE FIBRINOGENIO";-;4;4;-;15;1;2;-;12;4;2;-;2;10;1;1;2;5;-;-;-;-;6;-;3;-;-;-;74
"0202020304 DOSAGEM DE HEMOGLOBINA";-;1;2;2;2;1;2;-;1;1;1;-;2;2;1;2;6;2;-;-;1;-;2;1;-;-;-;-;32
"0202020363 ERITROGRAMA (ERITROCITOS, HEMOGLOBINA, HEMATOCRITO)";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202020371 HEMATOCRITO";-;1;2;1;1;1;2;-;1;1;1;-;4;2;7;3;3;2;-;-;1;-;2;1;-;-;-;-;36
"0202020380 HEMOGRAMA COMPLETO";6;125;254;588;882;510;1177;243;686;633;999;895;1804;1961;3797;2424;1915;937;394;215;85;334;823;262;138;6;166;71;22330
"0202020398 LEUCOGRAMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;3;-;-;-;-;1;1;-;-;-;-;8
"0202020410 PESQUISA DE CELULAS LE";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202020487 PROVA DE CONSUMO DE PROTROMBINA";-;-;-;-;-;-;-;-;-;-;-;12;2;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"0202020495 PROVA DE RETRACAO DO COAGULO";-;1;5;9;23;7;7;-;1;5;10;4;39;34;51;23;4;11;1;1;1;3;-;1;-;-;4;-;245
"0202020541 TESTE DIRETO DE ANTIGLOBULINA HUMANA (TAD)";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;1;-;-;-;-;4
"0202020568 DOSAGEM DE PROTEINA S FUNCIONAL";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202030024 CONTAGEM DE LINFOCITOS CD4/CD8";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;3;-;-;-;-;1;1;-;-;-;-;8
"0202030067 DETERMINACAO DE COMPLEMENTO (CH50)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;3
"0202030083 DETERMINACAO QUANTITATIVA DE PROTEINA C REATIVA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;924;603;563;56;40;9;-;182;399;34;-;-;-;-;2811
"0202030091 DOSAGEM DE ALFA-FETOPROTEINA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"0202030105 DOSAGEM DE ANTIGENO PROSTATICO ESPECIFICO (PSA)";-;-;-;3;-;2;-;-;-;-;2;-;4;4;-;-;3;-;-;1;-;-;-;-;-;-;1;-;20
"0202030121 DOSAGEM DE COMPLEMENTO C3";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;4
"0202030130 DOSAGEM DE COMPLEMENTO C4";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;4
"0202030156 DOSAGEM DE IMUNOGLOBULINA A (IGA)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;3;1;1;-;-;1;-;-;-;-;-;8
"0202030164 DOSAGEM DE IMUNOGLOBULINA E (IGE)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;3
"0202030172 DOSAGEM DE IMUNOGLOBULINA G (IGG)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;3;1;1;-;-;1;-;-;-;-;-;9
"0202030180 DOSAGEM DE IMUNOGLOBULINA M (IGM)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;3;1;1;-;-;1;-;-;-;-;-;9
"0202030202 DOSAGEM DE PROTEINA C REATIVA";6;114;237;539;783;488;1098;220;614;596;908;683;1604;1713;2013;1311;1055;723;280;150;77;84;318;188;126;3;149;63;16143
"0202030237 IMUNOFENOTIPAGEM DE HEMOPATIAS MALIGNAS (POR MARCADOR)";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;4
"0202030253 PESQUISA DE ANTICORPO IGG ANTICARDIOLIPINA";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;6
"0202030270 PESQUISA DE ANTICORPOS ANTI-DNA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;3
"0202030300 PESQUISA DE ANTICORPOS ANTI-HIV-1 + HIV-2 (ELISA)";-;-;1;1;8;5;7;8;6;4;-;-;1;-;4;-;2;2;-;-;-;1;-;1;-;-;-;1;52
"0202030326 PESQUISA DE ANTICORPOS ANTI-RIBONUCLEOPROTEINA (RNP)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"0202030342 PESQUISA DE ANTICORPOS ANTI-SM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2
"0202030393 PESQUISA DE ANTICORPOS ANTIASPERGILLUS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"0202030474 PESQUISA DE ANTICORPOS ANTIESTREPTOLISINA O (ASLO)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"0202030555 PESQUISA DE ANTICORPOS ANTIMICROSSOMAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"0202030563 PESQUISA DE ANTICORPOS ANTIMITOCONDRIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;2
"0202030580 PESQUISA DE ANTICORPOS ANTIMUSCULO LISO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"0202030598 PESQUISA DE ANTICORPOS ANTINUCLEO";-;-;1;-;-;-;-;-;-;1;1;1;-;2;1;1;2;-;-;1;-;-;1;-;-;-;-;-;12
"0202030628 PESQUISA DE ANTICORPOS ANTITIREOGLOBULINA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"0202030636 PESQUISA DE ANTICORPOS CONTRA ANTIGENO DE SUPERFICIE DO VIRUS DA HEPATITE B (ANTI-HBS)";-;-;-;-;1;-;-;-;-;-;-;1;1;-;1;-;1;1;-;-;-;1;-;1;-;-;-;1;9
"0202030644 PESQUISA DE ANTICORPOS CONTRA ANTIGENO E DO VIRUS DA HEPATITE B (ANTI-HBE)";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"0202030679 PESQUISA DE ANTICORPOS CONTRA O VIRUS DA HEPATITE C (ANTI-HCV)";1;1;2;1;3;2;1;1;4;3;4;1;6;11;14;8;5;2;1;1;-;2;7;1;-;-;-;1;83
"0202030717 PESQUISA DE ANTICORPOS E/OU ANTIGENO DO VIRUS SINCICIAL RESPIRATORIO";-;-;-;1;2;2;5;2;4;8;6;4;8;8;4;3;4;1;2;2;1;-;2;1;-;-;-;-;70
"0202030741 PESQUISA DE ANTICORPOS IGG ANTICITOMEGALOVIRUS";-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;1;-;-;-;-;-;2;-;-;-;-;-;7
"0202030768 PESQUISA DE ANTICORPOS IGG ANTITOXOPLASMA";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"0202030784 PESQUISA DE ANTICORPOS IGG E IGM CONTRA ANTIGENO CENTRAL DO VIRUS DA HEPATITE B (ANTI-HBC-TOTAL)";-;-;-;-;-;-;-;-;-;-;1;1;-;-;6;-;1;-;-;-;-;-;-;1;-;-;-;-;10
"0202030792 PESQUISA DE ANTICORPOS IGG CONTRA ARBOVIRUS";-;6;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2;-;-;-;-;-;10
"0202030814 PESQUISA DE ANTICORPOS IGG CONTRA O VIRUS DA RUBEOLA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"0202030830 PESQUISA DE ANTICORPOS IGG CONTRA O VIRUS EPSTEIN-BARR";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;3
"0202030849 PESQUISA DE ANTICORPOS IGG CONTRA O VIRUS HERPES SIMPLES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;2
"0202030857 PESQUISA DE ANTICORPOS IGM ANTICITOMEGALOVIRUS";-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;1;-;-;-;-;-;2;-;-;-;-;-;7
"0202030873 PESQUISA DE ANTICORPOS IGM ANTITOXOPLASMA";-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"0202030890 PESQUISA DE ANTICORPOS IGM CONTRA ANTIGENO CENTRAL DO VIRUS DA HEPATITE B (ANTI-HBC-IGM)";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"0202030920 PESQUISA DE ANTICORPOS IGM CONTRA O VIRUS DA RUBEOLA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"0202030946 PESQUISA DE ANTICORPOS IGM CONTRA O VIRUS EPSTEIN-BARR";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;3
"0202030954 PESQUISA DE ANTICORPOS IGM CONTRA O VIRUS HERPES SIMPLES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;2
"0202030962 PESQUISA DE ANTIGENO CARCINOEMBRIONARIO (CEA)";-;-;-;-;-;-;-;-;-;-;-;2;5;-;-;4;-;-;-;-;-;2;-;-;-;-;-;-;13
"0202030970 PESQUISA DE ANTIGENO DE SUPERFICIE DO VIRUS DA HEPATITE B (HBSAG)";1;1;2;1;3;2;1;1;4;2;4;1;6;11;14;8;4;2;1;1;-;1;6;2;-;-;-;1;80
"0202030989 PESQUISA DE ANTIGENO E DO VIRUS DA HEPATITE B (HBEAG)";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"0202031110 TESTE NAO TREPONEMICO P/ DETECCAO DE SIFILIS";1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;1;6
"0202031136 TESTE FTA-ABS IGM P/ DIAGNOSTICO DA SIFILIS";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202031179 TESTE NAO TREPONEMICO P/ DETECCAO DE SIFILIS EM GESTANTES";-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"0202040038 EXAME COPROLOGICO FUNCIONAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202040054 PESQUISA DE ENTEROBIUS VERMICULARES (OXIURUS OXIURA)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"0202040070 PESQUISA DE GORDURA FECAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202040097 PESQUISA DE LEUCOCITOS NAS FEZES";-;-;-;2;1;-;3;-;1;-;1;-;-;-;1;2;3;3;-;-;-;-;-;-;-;-;-;-;17
"0202040127 PESQUISA DE OVOS E CISTOS DE PARASITAS";-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3
"0202040135 PESQUISA DE ROTAVIRUS NAS FEZES";-;-;2;3;1;-;6;-;2;-;2;-;1;-;2;5;3;6;1;-;-;-;-;-;-;-;-;1;35
"0202040143 PESQUISA DE SANGUE OCULTO NAS FEZES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"0202050017 ANALISE DE CARACTERES FISICOS, ELEMENTOS E SEDIMENTO DA URINA";1;10;44;68;92;53;93;26;67;88;99;92;177;176;319;185;228;77;31;17;2;74;148;31;10;1;6;5;2220
"0202050041 CLEARANCE DE UREIA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"0202050114 DOSAGEM DE PROTEINAS (URINA DE 24 HORAS)";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"0202050157 PESQUISA DE ALCAPTONA NA URINA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
