  Dados detalhados das AIH - por local internação - São Paulo
Quantidade aprovada por Procedimento e Ano/mês processamento
Município: 354990 SAO JOSE DOS CAMPOS
Procedimento Principal: 0211030058 AVALIAÇÃO DE FUNÇÃO E MECÂNICA RESPIRATÓRIA COM TRANSDUTORES MICROPROCESSADOS, 0214010163 TESTE RÁPIDO PARA DETECÇÃO DE SARS-COVID-2, 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19, 0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO, 0304010383 RADIOTERAPIA DE TRAQUEIA, BRÔNQUIO, PULMÃO, PLEURA E MEDIASTINO
Grupo Procedimento Principal: 03 Procedimentos clínicos, 04 Procedimentos cirúrgicos, 06 Medicamentos
Subgrupo Proced.Principal: 0101 Ações coletivas/individuais em saúde, 0201 Coleta de material, 0303 Tratamentos clínicos (outras especialidades), 0601 Medicamentos de dispensação excepcional, 0602 Medicamentos estratégicos, 0603 Medicamentos de âmbito hospitalar e urgência, 0801 Ações relacionadas ao estabelecimento, 0802 Ações relacionadas ao atendimento, 0803 Autorização / Regulação
Forma organização Principal: 020807 Aparelho respiratório, 020904 Aparelho respiratório, 021107 Diagnóstico em otorrinolaringologia/fonoaudiologia, 021108 Diagnóstico em pneumologia, 030101 Consultas médicas/outros profissionais  de nivel superior, 030103 Atendimento pré-hospitalar de urgência, 030104 Outros atendimentos realizados por profissionais de níveis superior, 030106 Consulta/Atendimento ás urgências (em geral), 030110 Atendimentos de enfermagem (em geral), 030301 Tratamento de doenças infecciosas e parasitárias, 030906 Acessos venosos, 041201 Traqueia e brônquios, 041205 Pulmão, 041613 Otorrinolaringologia
Período:2019-2022
"Procedimento";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"Total"
"0202010732 GASOMETRIA (PH PCO2 PO2 BICARBONATO AS2 (EXCESSO OU DEFICIT BASE )";-;237;968;1480;1268;2052;825;977;399;2385;2203;2822;5049;4636;3741;1823;1818;548;588;183;258;669;785;453;119;173;1;36460
"0202010767 DOSAGEM DE 25 HIDROXIVITAMINA D";-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"0202020029 CONTAGEM DE PLAQUETAS";-;-;-;-;-;1;1;-;-;-;1;-;3;4;3;-;-;-;-;-;-;-;-;-;-;-;-;13
"0202020037 CONTAGEM DE RETICULOCITOS";-;-;-;1;-;4;-;2;-;2;2;-;2;3;-;1;1;1;-;-;-;3;1;1;-;1;-;25
"0202020070 DETERMINACAO DE TEMPO DE COAGULACAO";-;37;187;208;169;131;31;20;32;48;212;249;234;332;250;57;146;43;1;19;8;2;10;3;1;-;-;2430
"0202020134 DETERMINACAO DE TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA (TTP ATIVADA)";-;39;160;167;185;88;56;60;29;69;213;218;229;344;203;57;143;38;-;56;22;107;145;78;23;50;-;2779
"0202020142 DETERMINACAO DE TEMPO E ATIVIDADE DA PROTROMBINA (TAP)";3;83;420;460;391;801;367;440;189;1011;940;1435;2365;2385;1788;892;1172;268;394;105;130;439;359;318;79;133;-;17367
"0202020150 DETERMINACAO DE VELOCIDADE DE HEMOSSEDIMENTACAO (VHS)";-;3;25;42;54;25;18;4;4;3;4;1;4;5;6;3;2;2;2;1;-;1;1;3;-;-;-;213
"0202020169 DOSAGEM DE ANTICOAGULANTE CIRCULANTE";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;1;-;1;-;6
"0202020177 DOSAGEM DE ANTITROMBINA III";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"0202020207 DOSAGEM DE FATOR V";-;4;27;47;77;35;26;7;11;21;15;13;17;25;12;8;2;2;-;-;-;-;18;34;-;1;-;402
"0202020223 DOSAGEM DE FATOR VIII";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"0202020258 DOSAGEM DE FATOR X";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"0202020290 DOSAGEM DE FIBRINOGENIO";-;-;27;69;68;78;3;6;7;6;31;36;11;5;4;1;3;-;-;-;-;-;2;-;1;-;-;358
"0202020304 DOSAGEM DE HEMOGLOBINA";-;4;4;11;7;11;7;4;2;7;5;13;15;12;2;3;2;7;1;-;-;-;4;1;-;-;-;122
"0202020355 ELETROFORESE DE HEMOGLOBINA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;4
"0202020363 ERITROGRAMA (ERITROCITOS, HEMOGLOBINA, HEMATOCRITO)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"0202020371 HEMATOCRITO";-;3;3;9;7;10;7;2;2;5;-;12;15;12;3;3;2;6;1;-;-;-;4;1;-;-;-;107
"0202020380 HEMOGRAMA COMPLETO";4;183;801;1218;1060;1745;700;784;349;1661;1791;2401;3909;3715;2868;1442;1528;488;501;175;204;753;817;555;196;170;5;30023
"0202020398 LEUCOGRAMA";-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"0202020410 PESQUISA DE CELULAS LE";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202020487 PROVA DE CONSUMO DE PROTROMBINA";-;35;119;87;139;106;18;12;13;8;106;165;123;204;193;42;113;32;-;10;9;8;8;2;-;-;-;1552
"0202020495 PROVA DE RETRACAO DO COAGULO";-;8;19;107;82;119;17;10;14;10;101;44;15;15;33;15;35;9;1;8;1;2;5;2;4;-;-;676
"0202020541 TESTE DIRETO DE ANTIGLOBULINA HUMANA (TAD)";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;1;1;-;-;-;5
"0202030040 DETECCAO DE ACIDOS NUCLEICOS DO HIV-1 (QUALITATIVO)";-;-;-;-;-;1;-;-;-;-;2;1;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;7
"0202030059 DETECCAO DE RNA DO VIRUS DA HEPATITE C (QUALITATIVO)";-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"0202030067 DETERMINACAO DE COMPLEMENTO (CH50)";-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"0202030083 DETERMINACAO QUANTITATIVA DE PROTEINA C REATIVA";-;10;1;-;-;-;1;-;-;3;2;6;1;14;5;15;1;-;-;-;1;16;15;1;4;-;-;96
"0202030091 DOSAGEM DE ALFA-FETOPROTEINA";-;-;1;1;1;-;-;-;-;2;2;-;2;-;-;1;-;1;-;1;-;-;1;-;-;-;-;13
"0202030105 DOSAGEM DE ANTIGENO PROSTATICO ESPECIFICO (PSA)";-;-;-;-;1;1;-;-;2;1;1;-;1;1;5;-;-;-;-;-;-;1;1;-;-;-;-;15
"0202030121 DOSAGEM DE COMPLEMENTO C3";-;-;-;-;1;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5
"0202030130 DOSAGEM DE COMPLEMENTO C4";-;-;-;-;1;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5
"0202030156 DOSAGEM DE IMUNOGLOBULINA A (IGA)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"0202030164 DOSAGEM DE IMUNOGLOBULINA E (IGE)";-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"0202030172 DOSAGEM DE IMUNOGLOBULINA G (IGG)";-;-;1;1;-;1;-;-;-;-;2;1;-;-;-;1;-;1;-;1;-;-;1;-;-;-;-;10
"0202030180 DOSAGEM DE IMUNOGLOBULINA M (IGM)";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"0202030202 DOSAGEM DE PROTEINA C REATIVA";2;112;581;768;717;983;451;491;270;1234;1424;1955;2795;2970;2388;1210;1362;445;437;131;140;432;510;263;102;31;-;22204
"0202030229 IMUNOELETROFORESE DE PROTEINAS";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202030237 IMUNOFENOTIPAGEM DE HEMOPATIAS MALIGNAS (POR MARCADOR)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;10
"0202030253 PESQUISA DE ANTICORPO IGG ANTICARDIOLIPINA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;-;-;-;-;4
"0202030270 PESQUISA DE ANTICORPOS ANTI-DNA";-;-;1;2;-;1;-;-;-;-;2;1;-;1;-;-;-;2;-;3;-;-;2;-;-;-;-;15
"0202030288 PESQUISA DE ANTICORPOS ANTI-HELICOBACTER PYLORI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"0202030296 PESQUISA DE ANTICORPOS ANTI-HIV-1 (WESTERN BLOT)";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202030300 PESQUISA DE ANTICORPOS ANTI-HIV-1 + HIV-2 (ELISA)";-;-;1;-;2;1;2;-;3;2;-;-;3;-;-;-;-;-;-;-;-;-;2;-;1;-;-;17
"0202030318 PESQUISA DE ANTICORPOS ANTI-HTLV-1 + HTLV-2";-;-;2;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;6
"0202030334 PESQUISA DE ANTICORPOS ANTI-SCHISTOSOMAS";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202030342 PESQUISA DE ANTICORPOS ANTI-SM";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202030350 PESQUISA DE ANTICORPOS ANTI-SS-A (RO)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"0202030369 PESQUISA DE ANTICORPOS ANTI-SS-B (LA)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"0202030377 PESQUISA DE ANTICORPOS ANTIADENOVIRUS";-;-;-;-;-;1;2;-;-;-;4;1;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;11
"0202030393 PESQUISA DE ANTICORPOS ANTIASPERGILLUS";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202030415 PESQUISA DE ANTICORPOS ANTICISTICERCO";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"0202030474 PESQUISA DE ANTICORPOS ANTIESTREPTOLISINA O (ASLO)";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202030539 PESQUISA DE ANTICORPOS ANTILEPTOSPIRAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;2
"0202030563 PESQUISA DE ANTICORPOS ANTIMITOCONDRIA";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"0202030580 PESQUISA DE ANTICORPOS ANTIMUSCULO LISO";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"0202030598 PESQUISA DE ANTICORPOS ANTINUCLEO";-;-;-;2;2;1;2;1;-;-;1;-;1;2;-;1;-;-;-;-;-;-;1;-;-;-;-;14
"0202030628 PESQUISA DE ANTICORPOS ANTITIREOGLOBULINA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202030636 PESQUISA DE ANTICORPOS CONTRA ANTIGENO DE SUPERFICIE DO VIRUS DA HEPATITE B (ANTI-HBS)";-;-;17;35;51;21;9;4;4;7;3;4;2;2;1;1;1;3;-;2;-;1;3;2;-;-;-;173
"0202030644 PESQUISA DE ANTICORPOS CONTRA ANTIGENO E DO VIRUS DA HEPATITE B (ANTI-HBE)";-;-;1;1;1;1;-;-;-;-;2;1;-;-;-;-;1;1;-;1;-;-;1;-;-;-;-;11
"0202030679 PESQUISA DE ANTICORPOS CONTRA O VIRUS DA HEPATITE C (ANTI-HCV)";-;-;2;3;6;1;1;1;4;6;4;5;2;2;1;1;1;3;-;2;-;2;3;2;1;2;-;55
"0202030717 PESQUISA DE ANTICORPOS E/OU ANTIGENO DO VIRUS SINCICIAL RESPIRATORIO";-;-;5;8;51;20;22;8;8;22;25;11;17;9;8;4;2;-;-;1;-;2;14;3;-;-;-;240
"0202030733 PESQUISA DE ANTICORPOS HETEROFILOS CONTA O VIRUS EPSTEIN-BARR";-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;5
"0202030741 PESQUISA DE ANTICORPOS IGG ANTICITOMEGALOVIRUS";-;-;2;1;-;-;1;-;-;-;2;3;-;-;2;1;2;1;-;1;-;-;1;1;-;-;-;18
"0202030768 PESQUISA DE ANTICORPOS IGG ANTITOXOPLASMA";-;-;1;-;-;-;1;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;9
"0202030784 PESQUISA DE ANTICORPOS IGG E IGM CONTRA ANTIGENO CENTRAL DO VIRUS DA HEPATITE B (ANTI-HBC-TOTAL)";-;-;1;3;3;1;-;1;2;5;3;4;2;1;1;1;-;3;-;1;-;-;2;1;-;-;-;35
"0202030792 PESQUISA DE ANTICORPOS IGG CONTRA ARBOVIRUS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;2;-;3;-;-;8
"0202030806 PESQUISA DE ANTICORPOS IGG CONTRA O VIRUS DA HEPATITE A (HAV-IGG)";-;-;1;1;1;1;1;-;-;-;2;2;-;1;-;-;-;1;-;1;-;1;2;-;-;-;-;15
"0202030814 PESQUISA DE ANTICORPOS IGG CONTRA O VIRUS DA RUBEOLA";-;-;1;1;-;-;1;-;-;-;2;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;8
"0202030830 PESQUISA DE ANTICORPOS IGG CONTRA O VIRUS EPSTEIN-BARR";-;-;3;2;-;-;1;-;-;2;3;2;-;-;-;-;-;2;-;2;-;-;1;1;-;-;-;19
"0202030849 PESQUISA DE ANTICORPOS IGG CONTRA O VIRUS HERPES SIMPLES";-;-;2;2;2;2;1;-;-;-;2;2;-;-;2;2;2;1;-;1;-;-;-;-;-;-;-;21
"0202030857 PESQUISA DE ANTICORPOS IGM ANTICITOMEGALOVIRUS";-;-;2;1;1;-;1;-;-;-;2;1;-;-;1;2;-;1;-;1;-;-;1;1;-;-;-;15
"0202030873 PESQUISA DE ANTICORPOS IGM ANTITOXOPLASMA";-;-;2;1;-;-;1;-;-;-;3;1;-;-;-;-;-;1;-;1;-;-;1;1;-;-;-;12
"0202030890 PESQUISA DE ANTICORPOS IGM CONTRA ANTIGENO CENTRAL DO VIRUS DA HEPATITE B (ANTI-HBC-IGM)";-;-;-;-;-;1;2;-;1;2;-;2;1;-;-;2;-;-;-;-;-;-;1;-;-;-;-;12
"0202030903 PESQUISA DE ANTICORPOS IGM CONTRA ARBOVIRUS";-;-;2;1;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"0202030911 PESQUISA DE ANTICORPOS IGM CONTRA O VIRUS DA HEPATITE A (HAV-IGG)";-;-;1;1;1;1;-;-;-;-;2;1;-;1;-;-;-;1;-;1;-;-;1;-;-;-;-;11
"0202030920 PESQUISA DE ANTICORPOS IGM CONTRA O VIRUS DA RUBEOLA";-;-;1;1;-;-;1;-;-;-;2;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;8
"0202030938 PESQUISA DE ANTICORPOS IGM CONTRA O VIRUS DA VARICELA-HERPES ZOSTER";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;2
"0202030946 PESQUISA DE ANTICORPOS IGM CONTRA O VIRUS EPSTEIN-BARR";-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;5
"0202030954 PESQUISA DE ANTICORPOS IGM CONTRA O VIRUS HERPES SIMPLES";-;-;2;3;4;-;2;-;-;-;3;-;-;-;-;4;-;1;-;1;-;-;-;-;-;-;-;20
"0202030962 PESQUISA DE ANTIGENO CARCINOEMBRIONARIO (CEA)";-;-;1;1;1;-;-;-;-;4;5;-;5;-;-;2;-;1;-;1;-;-;2;-;-;-;-;23
"0202030970 PESQUISA DE ANTIGENO DE SUPERFICIE DO VIRUS DA HEPATITE B (HBSAG)";-;-;17;35;50;25;10;5;5;7;4;6;4;4;5;2;2;2;-;3;-;2;6;2;1;6;-;203
