  Dados detalhados das AIH - por local internação - São Paulo
Valor aprovado por Procedimento e Ano/mês processamento
Município: 352440 JACAREI
Procedimento Principal: 0211030058 AVALIAÇÃO DE FUNÇÃO E MECÂNICA RESPIRATÓRIA COM TRANSDUTORES MICROPROCESSADOS, 0214010163 TESTE RÁPIDO PARA DETECÇÃO DE SARS-COVID-2, 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19, 0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO, 0304010383 RADIOTERAPIA DE TRAQUEIA, BRÔNQUIO, PULMÃO, PLEURA E MEDIASTINO
Grupo Procedimento Principal: 03 Procedimentos clínicos, 04 Procedimentos cirúrgicos, 06 Medicamentos
Subgrupo Proced.Principal: 0101 Ações coletivas/individuais em saúde, 0201 Coleta de material, 0303 Tratamentos clínicos (outras especialidades), 0601 Medicamentos de dispensação excepcional, 0602 Medicamentos estratégicos, 0603 Medicamentos de âmbito hospitalar e urgência, 0801 Ações relacionadas ao estabelecimento, 0802 Ações relacionadas ao atendimento, 0803 Autorização / Regulação
Forma organização Principal: 020807 Aparelho respiratório, 020904 Aparelho respiratório, 021107 Diagnóstico em otorrinolaringologia/fonoaudiologia, 021108 Diagnóstico em pneumologia, 030101 Consultas médicas/outros profissionais  de nivel superior, 030103 Atendimento pré-hospitalar de urgência, 030104 Outros atendimentos realizados por profissionais de níveis superior, 030106 Consulta/Atendimento ás urgências (em geral), 030110 Atendimentos de enfermagem (em geral), 030301 Tratamento de doenças infecciosas e parasitárias, 030906 Acessos venosos, 041201 Traqueia e brônquios, 041205 Pulmão, 041613 Otorrinolaringologia
Período:2019-2022
"Procedimento";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jul";"Total"
"0205020038 ULTRASSONOGRAFIA DE ABDOMEN SUPERIOR";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24,20;-;-;-;-;24,20
"0205020046 ULTRASSONOGRAFIA DE ABDOMEN TOTAL";-;-;-;-;37,95;-;-;75,90;-;-;-;-;-;113,85;-;-;37,95;-;-;-;-;75,90;113,85;37,95;-;-;-;493,35
"0205020054 ULTRASSONOGRAFIA DE APARELHO URINARIO";-;24,20;-;-;-;24,20;-;-;-;-;-;-;-;-;24,20;-;24,20;-;-;-;-;48,40;-;-;-;-;-;145,20
"0205020097 ULTRASSONOGRAFIA MAMARIA BILATERAL";-;-;-;24,20;24,20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48,40
"0205020100 ULTRASSONOGRAFIA DE PROSTATA POR VIA ABDOMINAL";-;-;-;-;24,20;-;-;-;-;-;-;-;-;24,20;24,20;-;-;-;-;-;-;-;-;-;-;-;-;72,60
"0205020127 ULTRASSONOGRAFIA DE TIREOIDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24,20;-;-;-;-;-;24,20
"0205020143 ULTRASSONOGRAFIA OBSTETRICA";-;-;24,20;24,20;-;-;-;-;-;-;-;-;24,20;-;-;-;-;-;-;-;-;24,20;-;-;-;-;-;96,80
"0205020186 ULTRASSONOGRAFIA TRANSVAGINAL";-;-;-;-;24,20;-;-;-;-;24,20;-;24,20;-;24,20;-;24,20;-;-;-;-;-;-;-;-;-;-;-;121,00
"0206010010 TOMOGRAFIA COMPUTADORIZADA DE COLUNA CERVICAL C/ OU S/ CONTRASTE";-;-;-;-;-;-;-;260,28;-;-;-;86,76;-;86,76;-;-;-;-;-;-;-;-;-;-;-;-;-;433,80
"0206010044 TOMOGRAFIA COMPUTADORIZADA DE FACE / SEIOS DA FACE / ARTICULACOES TEMPORO-MANDIBULARES";-;-;-;-;-;-;-;-;-;-;-;86,75;-;-;-;-;-;-;-;-;-;-;-;86,75;-;-;-;173,50
"0206010052 TOMOGRAFIA COMPUTADORIZADA DO PESCOCO";-;-;-;-;-;-;-;173,50;-;-;-;-;-;-;-;-;-;86,75;-;-;-;-;86,75;-;-;-;-;347,00
"0206010079 TOMOGRAFIA COMPUTADORIZADA DO CRANIO";-;-;292,32;97,44;1169,28;584,64;292,32;3020,64;292,32;292,32;876,96;584,64;779,52;779,52;97,44;389,76;779,52;292,32;194,88;-;-;2241,12;1364,16;194,88;-;97,44;194,88;14908,32
"0206020031 TOMOGRAFIA COMPUTADORIZADA DE TORAX";682,05;272,82;2318,97;2046,15;5456,40;4365,12;2318,97;13231,77;5592,81;4910,76;5183,58;8321,01;8866,65;14323,05;14459,46;6274,86;5456,40;3137,43;1773,33;545,64;545,64;6547,68;9412,29;1227,69;272,82;818,46;136,41;128498,22
"0206030010 TOMOGRAFIA COMPUTADORIZADA DE ABDOMEN SUPERIOR";-;138,63;138,63;415,89;1109,04;554,52;-;2218,08;415,89;415,89;-;693,15;277,26;831,78;277,26;554,52;554,52;277,26;138,63;-;-;831,78;831,78;-;-;-;-;10674,51
"0206030037 TOMOGRAFIA COMPUTADORIZADA DE PELVE / BACIA / ABDOMEN INFERIOR";-;138,63;138,63;415,89;1109,04;554,52;-;2356,71;415,89;415,89;-;693,15;277,26;831,78;277,26;554,52;554,52;277,26;138,63;-;-;970,41;831,78;-;-;-;-;10951,77
"0207010064 RESSONANCIA MAGNETICA DE CRANIO";-;-;-;-;268,75;-;-;268,75;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;537,50
"0207030014 RESSONANCIA MAGNETICA DE ABDOMEN SUPERIOR";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;268,75;-;-;-;-;-;268,75
"0209010029 COLONOSCOPIA (COLOSCOPIA)";-;-;-;-;-;-;-;-;112,66;-;-;-;-;-;-;-;-;112,66;-;-;-;112,66;-;-;-;-;-;337,98
"0209010037 ESOFAGOGASTRODUODENOSCOPIA";-;-;-;-;-;48,16;-;144,48;-;-;48,16;-;192,64;144,48;-;-;96,32;-;-;-;-;48,16;-;-;-;48,16;-;770,56
"0209040017 BRONCOSCOPIA (BRONCOFIBROSCOPIA)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36,02;-;-;-;-;-;-;-;-;-;-;-;36,02
"0212010026 EXAMES PRE-TRANSFUSIONAIS I";17,04;-;68,16;136,32;119,28;153,36;68,16;800,88;187,44;289,68;153,36;374,88;102,24;511,20;153,36;221,52;119,28;153,36;68,16;51,12;34,08;102,24;170,40;255,60;17,04;-;-;4328,16
"0212010034 EXAMES PRE-TRANSFUSIONAIS II";-;-;102,24;238,56;272,64;272,64;119,28;1482,48;289,68;494,16;306,72;698,64;221,52;732,72;306,72;426,00;255,60;204,48;85,20;102,24;51,12;153,36;477,12;204,48;34,08;-;-;7531,68
"0214010058 TESTE RAPIDO PARA DETECCAO DE INFECCAO PELO HIV";-;-;-;-;-;1,00;-;8,00;-;1,00;2,00;2,00;-;4,00;1,00;2,00;-;2,00;-;-;-;2,00;3,00;-;-;-;-;28,00
"0301010170 CONSULTA/AVALIACAO EM PACIENTE INTERNADO";940,33;292,44;2284,91;2862,40;5612,47;4871,93;3314,86;9748,87;3827,15;6651,52;4773,36;7478,42;5445,49;9550,69;6138,84;6800,75;5308,66;3477,38;1286,60;818,00;654,70;7447,93;12833,82;3022,69;940,12;904,81;257,24;117546,38
"0302010033 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE NEONATO";-;-;-;-;-;-;-;-;-;-;-;-;63,50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63,50
"0302020012 ATENDIMENTO FISIOTERAPEUTICO DE PACIENTE COM CUIDADOS PALIATIVOS";177,80;-;-;336,55;-;-;-;527,05;-;-;57,15;438,15;-;-;-;25,40;38,10;-;-;-;-;6,35;-;-;152,40;-;-;1758,95
"0302020020 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE ONCOLOGICO CLINICO";-;-;-;-;-;-;-;172,79;-;42,03;14,01;-;-;-;-;-;23,35;-;-;-;-;9,34;32,69;-;-;-;-;294,21
"0302020039 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE NO PRE E POS CIRURGIA ONCOLOGICA";-;-;-;-;-;-;-;-;-;-;12,70;-;-;-;-;-;-;-;-;-;-;-;6,35;-;-;-;-;19,05
"0302040013 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO RESPIRATORIO COM COMPLICACOES SISTEMICAS";260,35;-;323,85;768,35;1003,30;577,85;2197,10;13722,35;3949,70;6578,60;3016,25;6896,10;4940,30;9309,10;6597,65;5626,10;5975,35;1708,15;1193,80;615,95;971,55;2781,30;3009,90;1117,60;482,60;654,05;-;84277,20
"0302040021 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO RESPIRATORIO SEM COMPLICACOES SISTEMICAS";74,72;-;23,35;387,61;28,02;9,34;210,15;597,76;457,66;284,87;158,78;396,95;214,82;588,42;9,34;126,09;457,66;9,34;177,46;23,35;-;210,15;186,80;112,08;-;4,67;4,67;4754,06
"0302040030 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO CLINICO CARDIOVASCULAR";-;-;18,68;396,95;46,70;130,76;-;8938,38;2858,04;3675,29;1755,92;4184,32;3353,06;4721,37;3736,00;3105,55;3170,93;859,28;504,36;476,34;695,83;2143,53;1531,76;490,35;14,01;485,68;4,67;47297,76
"0302060022 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTES COM DISTURBIOS NEURO-CINETICO-FUNCIONAIS COM COMPLICAC";171,45;-;190,50;361,95;927,10;381,00;2413,00;711,20;546,10;1670,05;609,60;1162,05;539,75;3536,95;1460,50;1479,55;1562,10;387,35;730,25;-;-;-;819,15;666,75;311,15;-;-;20637,50
"0303010223 TRATAMENTO DE INFECCAO PELO CORONAVIRUS ? COVID 19";5086,75;4207,56;66765,39;88645,34;128115,86;97309,96;37247,03;165532,07;98257,99;168956,81;104819,52;198346,63;207686,06;293677,63;239973,39;152330,82;110365,48;64040,11;33185,35;11182,00;12872,39;94749,27;124040,25;22553,73;8053,13;9595,19;1242,76;2548838,47
"0305010042 HEMODIALISE CONTINUA";-;-;-;2123,28;-;-;-;30522,15;10881,81;9820,17;9820,17;17251,65;5839,02;16455,42;16986,24;12739,68;14066,73;5042,79;796,23;796,23;796,23;11678,04;9820,17;2123,28;-;1592,46;-;179151,75
"0305010131 HEMODIALISE P/ PACIENTES RENAIS AGUDOS / CRONICOS AGUDIZADOS S/ TRATATAMENTO DIALITICO INICIADO";-;-;-;265,41;2388,69;1592,46;-;530,82;-;7166,07;-;4511,97;530,82;7696,89;530,82;2919,51;-;1061,64;1061,64;-;-;-;-;-;-;-;-;30256,74
"0306020041 SANGRIA TERAPEUTICA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4,69;-;-;-;-;-;-;-;-;-;4,69
"0306020068 TRANSFUSAO DE CONCENTRADO DE HEMACIAS";-;-;41,95;117,46;100,68;125,85;58,73;671,20;117,46;226,53;151,02;318,82;92,29;343,99;142,63;159,41;117,46;100,68;41,95;50,34;25,17;67,12;142,63;100,68;16,78;-;-;3330,83
"0306020076 TRANSFUSAO DE CONCENTRADO DE PLAQUETAS";-;-;-;-;184,58;-;-;293,65;167,80;75,51;67,12;-;-;402,72;-;33,56;67,12;117,46;109,07;100,68;-;58,73;67,12;8,39;-;-;-;1753,51
"0306020084 TRANSFUSAO DE CRIOPRECIPITADO";-;-;-;-;-;-;-;-;-;-;-;-;-;75,51;-;-;-;-;-;-;-;-;-;8,39;-;-;-;83,90
"0306020106 TRANSFUSAO DE PLASMA FRESCO";8,39;-;33,56;67,12;8,39;50,34;-;92,29;50,34;41,95;-;8,39;41,95;218,14;8,39;16,78;16,78;-;-;8,39;-;16,78;16,78;41,95;-;-;-;746,71
"0309010047 NUTRICAO ENTERAL EM ADULTO";180,00;-;240,00;960,00;2970,00;1830,00;3390,00;18120,00;3720,00;7740,00;4560,00;10470,00;6360,00;12570,00;6960,00;6720,00;8430,00;3210,00;1200,00;510,00;1200,00;2850,00;7590,00;990,00;150,00;420,00;210,00;113550,00
"0309010063 NUTRICAO ENTERAL EM PEDIATRIA";-;-;-;-;-;-;-;-;-;270,00;-;-;36,00;216,00;-;-;-;-;-;-;-;-;-;468,00;-;-;-;990,00
"0309010071 NUTRICAO PARENTERAL EM ADULTO";960,00;-;480,00;960,00;-;-;-;1440,00;-;60,00;-;-;-;60,00;-;-;360,00;60,00;120,00;-;-;-;-;-;840,00;-;-;5340,00
"0309010101 PASSAGEM DE SONDA NASO ENTERICA (INCLUI MATERIAL)";56,00;-;112,00;84,00;196,00;84,00;168,00;1820,00;476,00;532,00;224,00;644,00;420,00;1036,00;588,00;644,00;756,00;364,00;140,00;140,00;140,00;392,00;616,00;84,00;28,00;56,00;28,00;9828,00
"0401010015 CURATIVO GRAU II C/ OU S/ DEBRIDAMENTO";-;-;97,20;129,60;907,20;1976,40;810,00;388,80;550,80;615,60;226,80;453,60;129,60;1458,00;680,40;907,20;1296,00;32,40;388,80;32,40;874,80;1036,80;1198,80;-;-;162,00;550,80;14904,00
"0401010058 EXCISAO DE LESAO E/OU SUTURA DE FERIMENTO DA PELE ANEXOS E MUCOSA";-;-;-;-;-;-;-;23,16;-;-;-;-;-;-;23,16;-;-;-;-;-;-;-;-;-;-;-;-;46,32
"0401010104 INCISAO E DRENAGEM DE ABSCESSO";-;-;-;-;-;-;-;11,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11,84
"0406020094 DISSECCAO DE VEIA / ARTERIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5,73;28,05;-;-;23,38;20,62;4,82;6,75;-;-;89,35
"0407040196 PARACENTESE ABDOMINAL";-;-;-;12,27;-;-;-;12,27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24,54
"0412010127 TRAQUEOSTOMIA COM COLOCACAO DE ORTESE TRAQUEAL OU TRAQUEOBRONQUICA";-;-;-;227,63;227,63;-;455,26;1593,41;-;682,89;910,52;227,63;910,52;1365,78;682,89;1365,78;455,26;-;227,63;-;-;-;910,52;227,63;-;-;-;10470,98
"0412050170 TORACOCENTESE/DRENAGEM DE PLEURA";-;-;-;54,97;54,97;-;-;219,88;-;109,94;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;439,76
"0417010052 ANESTESIA REGIONAL";-;-;-;-;84,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;84,00
"0418010056 IMPLANTE DE CATETER DUPLO LUMEN NA IRA (INCLUI CATETER)";-;-;-;163,89;327,78;327,78;-;163,89;-;327,78;-;327,78;163,89;819,45;327,78;327,78;-;163,89;163,89;-;-;-;-;-;-;-;-;3605,58
"0603070019 ALBUMINA HUMANA 20 POR CENTO (FRASCO-AMPOLA DE 50 ML)";-;-;-;110,00;-;-;-;-;-;-;-;-;-;330,00;-;-;-;-;-;-;-;-;-;275,00;-;-;-;715,00
"0702050024 CANULA P/ TRAQUEOSTOMIA S/ BALAO";-;-;-;-;8,93;-;17,86;-;-;8,93;-;-;-;-;-;8,93;8,93;-;8,93;-;-;-;-;-;-;-;-;62,51
"0802010016 DIARIA DE ACOMPANHANTE ADULTO (COM PERNOITE)";80,00;-;-;32,00;-;-;-;104,00;-;16,00;24,00;-;-;272,00;-;56,00;32,00;32,00;-;-;-;16,00;16,00;-;-;-;-;680,00
"0802010024 DIARIA DE ACOMPANHANTE CRIANCA/ADOLESCENTE C/PERNOITE";-;-;8,00;-;-;-;16,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48,00;-;-;-;-;-;72,00
"0802010032 DIARIA DE ACOMPANHANTE DE GESTANTE C/ PERNOITE";-;-;-;-;-;-;-;-;-;8,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8,00
"0802010040 DIARIA DE ACOMPANHANTE DE IDOSOS C/ PERNOITE";152,00;24,00;136,00;168,00;344,00;392,00;48,00;800,00;104,00;112,00;256,00;248,00;64,00;152,00;120,00;48,00;248,00;96,00;-;136,00;120,00;288,00;568,00;96,00;-;88,00;80,00;4888,00
"0802010059 DIARIA DE ACOMPANHANTE DE IDOSOS S/ PERNOITE";-;-;12,00;-;-;20,00;8,00;52,00;-;24,00;16,00;76,00;-;-;-;-;-;-;-;-;-;8,00;-;-;-;-;-;216,00
"0802010083 DIARIA DE UNIDADE DE TERAPIA INTENSIVA ADULTO (UTI II)";8616,96;-;7659,52;26808,32;28244,48;15797,76;8616,96;-;-;-;-;-;2393,60;2872,32;12446,72;13882,88;10531,84;3351,04;-;-;-;-;-;13800,00;17400,00;21600,00;-;194022,40
"0802010121 DIARIA DE UNIDADE DE TERAPIA INTENSIVA NEONATAL - UTIN (TIPO II)";-;-;-;-;-;-;-;-;-;-;-;-;1914,88;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1914,88
"0802010156 DIARIA DE UNIDADE DE TERAPIA INTENSIVA EM PEDIATRIA (UTI II)";-;-;-;4787,20;-;3351,04;-;-;-;-;957,44;-;1436,16;7180,80;-;-;-;-;-;-;-;-;-;21689,28;-;-;-;39401,92
"0802010199 DIARIA DE PERMANENCIA A MAIOR";113,33;-;210,47;32,38;955,21;760,93;259,04;5358,89;356,18;453,32;388,56;1359,96;550,46;955,21;469,51;550,46;728,55;97,14;-;-;113,33;922,83;1651,38;339,99;-;-;-;16627,13
"0802010237 DIARIA DE UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CONVENCIONAL (UCINCo)";-;-;-;-;-;-;-;-;-;-;-;-;-;540,00;-;-;-;-;-;-;-;-;-;-;-;-;-;540,00
"0802010296 DIARIA DE UTI II ADULTO - SINDROME RESPIRATORIA AGUDA GRAVE (SRAG) - COVID19";-;-;-;-;-;14400,00;182400,00;116800,00;366400,00;465600,00;292800,00;478400,00;505600,00;900800,00;579200,00;550400,00;513600,00;243200,00;132800,00;54400,00;57600,00;283200,00;446400,00;22400,00;-;-;-;6206400,00
"0802010318 DIARIA DE LEITO DE SUPORTE VENTILATORIO PULMONAR";-;-;-;-;-;-;-;-;-;-;-;-;-;31116,80;23936,00;3829,76;957,44;478,72;-;-;-;-;-;-;-;-;-;60318,72
"Total";17601,17;5098,28;82122,21;134384,11;183126,38;150869,36;244652,42;404150,81;500147,54;688877,94;432491,08;746020,73;759710,06;1327247,95;916918,74;773108,29;686774,09;332522,51;176682,66;70388,50;76814,66;419683,31;624913,89;92827,66;28718,88;36566,86;2816,89;9915236,98
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
