  Dados detalhados das AIH - por local internação - São Paulo
Valor aprovado por Procedimento e Ano/mês processamento
Município: 355410 TAUBATE
Procedimento Principal: 0211030058 AVALIAÇÃO DE FUNÇÃO E MECÂNICA RESPIRATÓRIA COM TRANSDUTORES MICROPROCESSADOS, 0214010163 TESTE RÁPIDO PARA DETECÇÃO DE SARS-COVID-2, 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19, 0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO, 0304010383 RADIOTERAPIA DE TRAQUEIA, BRÔNQUIO, PULMÃO, PLEURA E MEDIASTINO
Grupo Procedimento Principal: 03 Procedimentos clínicos, 04 Procedimentos cirúrgicos, 06 Medicamentos
Subgrupo Proced.Principal: 0101 Ações coletivas/individuais em saúde, 0201 Coleta de material, 0303 Tratamentos clínicos (outras especialidades), 0601 Medicamentos de dispensação excepcional, 0602 Medicamentos estratégicos, 0603 Medicamentos de âmbito hospitalar e urgência, 0801 Ações relacionadas ao estabelecimento, 0802 Ações relacionadas ao atendimento, 0803 Autorização / Regulação
Forma organização Principal: 020807 Aparelho respiratório, 020904 Aparelho respiratório, 021107 Diagnóstico em otorrinolaringologia/fonoaudiologia, 021108 Diagnóstico em pneumologia, 030101 Consultas médicas/outros profissionais  de nivel superior, 030103 Atendimento pré-hospitalar de urgência, 030104 Outros atendimentos realizados por profissionais de níveis superior, 030106 Consulta/Atendimento ás urgências (em geral), 030110 Atendimentos de enfermagem (em geral), 030301 Tratamento de doenças infecciosas e parasitárias, 030906 Acessos venosos, 041201 Traqueia e brônquios, 041205 Pulmão, 041613 Otorrinolaringologia
Período:2019-2022
"Procedimento";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"Total"
"0209010037 ESOFAGOGASTRODUODENOSCOPIA";-;-;-;48,16;48,16;96,32;96,32;48,16;48,16;-;48,16;192,64;288,96;192,64;481,60;240,80;48,16;96,32;96,32;48,16;48,16;96,32;192,64;192,64;-;-;96,32;-;2745,12
"0209040017 BRONCOSCOPIA (BRONCOFIBROSCOPIA)";-;-;-;-;-;-;-;-;-;-;36,02;-;-;36,02;-;36,02;-;36,02;-;-;-;-;-;-;-;-;36,02;-;180,10
"0209040025 LARINGOSCOPIA";-;-;-;-;-;-;-;-;-;-;47,14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47,14
"0210010010 ANGIOGRAFIA CEREBRAL (4 VASOS)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;179,46;-;-;-;-;-;-;-;-;-;-;179,46
"0210010037 ANGIOGRAFIA DE ARCO AORTICO E TRONCOS SUPRA-AORTICOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;137,01;-;-;137,01;274,02
"0210010045 AORTOGRAFIA ABDOMINAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;189,73;-;-;-;-;189,73
"0210010070 ARTERIOGRAFIA DE MEMBRO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;179,46;-;-;-;-;179,46
"0210010126 ARTERIOGRAFIA PELVICA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;170,44;-;-;-;-;170,44
"0210010134 ARTERIOGRAFIA SELETIVA DE CAROTIDA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;190,31;-;-;-;-;-;-;-;-;-;-;190,31
"0210010150 ARTERIOGRAFIA SELETIVA VERTEBRAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;201,01;-;-;-;-;-;-;-;-;-;-;201,01
"0212010026 EXAMES PRE-TRANSFUSIONAIS I";-;136,32;289,68;357,84;528,24;698,64;834,96;17,04;528,24;391,92;920,16;289,68;1158,72;1482,48;1363,20;545,28;545,28;511,20;153,36;204,48;238,56;238,56;306,72;119,28;34,08;-;136,32;68,16;12098,40
"0212010034 EXAMES PRE-TRANSFUSIONAIS II";-;136,32;289,68;340,80;477,12;681,60;408,96;17,04;323,76;289,68;681,60;153,36;630,48;988,32;681,60;323,76;204,48;443,04;85,20;85,20;-;17,04;238,56;119,28;34,08;-;34,08;68,16;7753,20
"0214010058 TESTE RAPIDO PARA DETECCAO DE INFECCAO PELO HIV";1,00;1,00;3,00;1,00;1,00;2,00;1,00;1,00;3,00;2,00;4,00;1,00;4,00;10,00;11,00;8,00;5,00;2,00;1,00;1,00;-;2,00;5,00;1,00;-;-;-;-;71,00
"0301010170 CONSULTA/AVALIACAO EM PACIENTE INTERNADO";-;60,81;613,83;949,88;2828,41;1834,03;3660,60;1305,61;2797,67;2775,18;4636,39;6150,26;11550,83;11942,79;13048,58;8371,12;6586,72;5898,99;1552,50;1224,78;746,02;1249,32;2541,62;1659,61;514,86;60,81;506,37;341,17;95408,76
"0302040013 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO RESPIRATORIO COM COMPLICACOES SISTEMICAS";-;641,35;1212,85;4603,75;8204,20;4965,70;10325,10;2616,20;6845,30;8153,40;12065,00;11379,20;20523,20;22561,55;30968,95;20688,30;12687,30;8013,70;3600,45;1644,65;749,30;1765,30;4292,60;1606,55;1168,40;-;1587,50;381,00;203250,80
"0302040021 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO RESPIRATORIO SEM COMPLICACOES SISTEMICAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28,02;65,38;32,69;-;-;-;-;126,09
"0302050019 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTES NO PRE E POS-OPERATORIO NAS DISFUNCOES MUSCULO ESQUE";-;-;330,20;1809,75;2940,05;1333,50;4406,90;749,30;1905,00;3168,65;4921,25;5149,85;7131,05;3530,60;6877,05;4578,35;3594,10;3378,20;2108,20;654,05;812,80;812,80;1225,55;95,25;311,15;-;749,30;-;62572,90
"0303010223 TRATAMENTO DE INFECCAO PELO CORONAVIRUS ? COVID 19";6000,00;25439,19;65417,13;95417,76;120651,47;73343,99;112419,90;36225,35;81806,05;114534,42;141173,20;196814,12;368394,20;387482,91;773442,90;424077,78;630156,31;107371,13;58617,78;22914,54;8339,11;97797,12;212295,06;35979,71;10000,62;2939,19;8745,18;2821,37;4220617,49
"0305010042 HEMODIALISE CONTINUA";-;-;-;7431,48;1592,46;-;-;1592,46;-;-;-;-;5839,02;-;-;-;-;-;5573,61;-;-;-;-;-;-;-;-;-;22029,03
"0305010131 HEMODIALISE P/ PACIENTES RENAIS AGUDOS / CRONICOS AGUDIZADOS S/ TRATATAMENTO DIALITICO INICIADO";-;2388,69;7166,07;9023,94;6900,66;8758,53;9820,17;9554,76;11943,45;14066,73;19640,34;25479,36;40873,14;49897,08;39811,50;22294,44;20701,98;23621,49;7431,48;2919,51;1327,05;4246,56;7166,07;5573,61;1592,46;-;1061,64;-;353260,71
"0306020068 TRANSFUSAO DE CONCENTRADO DE HEMACIAS";-;209,75;67,12;285,26;243,31;209,75;318,82;41,95;285,26;201,36;453,06;318,82;620,86;956,46;872,56;629,25;268,48;360,77;117,46;67,12;67,12;117,46;285,26;67,12;16,78;-;67,12;67,12;7215,40
"0306020076 TRANSFUSAO DE CONCENTRADO DE PLAQUETAS";-;-;16,78;100,68;75,51;134,24;117,46;-;151,02;100,68;192,97;-;8,39;109,07;117,46;100,68;100,68;50,34;8,39;58,73;-;-;8,39;-;-;-;-;-;1451,47
"0306020106 TRANSFUSAO DE PLASMA FRESCO";-;-;58,73;-;-;50,34;-;-;16,78;67,12;8,39;-;50,34;151,02;-;-;25,17;-;-;-;25,17;-;-;-;-;-;-;25,17;478,23
"0306020122 TRANSFUSAO DE SANGUE / COMPONENTES IRRADIADOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;17,04;-;-;-;-;-;-;-;-;-;-;-;-;-;17,04
"0309010039 GASTROSTOMIA ENDOSCOPICA PERCUTANEA (INCLUI MATERIAL E SEDACAO ANESTESICA)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;527,50;-;527,50
"0309010047 NUTRICAO ENTERAL EM ADULTO";-;1380,00;3000,00;8730,00;10080,00;5100,00;19020,00;3330,00;10470,00;8460,00;14700,00;11490,00;26700,00;27990,00;29730,00;23430,00;17160,00;17910,00;5130,00;2700,00;390,00;2070,00;5400,00;4680,00;3000,00;-;1800,00;990,00;264840,00
"0309010063 NUTRICAO ENTERAL EM PEDIATRIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;108,00;-;-;-;-;-;108,00
"0309010071 NUTRICAO PARENTERAL EM ADULTO";-;-;-;60,00;-;-;-;-;-;-;720,00;300,00;1620,00;600,00;-;-;-;1080,00;-;-;-;-;60,00;-;-;-;3060,00;-;7500,00
"0309010080 NUTRICAO PARENTERAL EM NEONATOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;180,00;-;-;-;-;-;180,00
"0309010098 NUTRICAO PARENTERAL EM PEDIATRIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;180,00;-;-;-;-;-;-;180,00
"0309010101 PASSAGEM DE SONDA NASO ENTERICA (INCLUI MATERIAL)";-;56,00;56,00;532,00;784,00;560,00;1120,00;252,00;504,00;644,00;1148,00;1204,00;2464,00;2492,00;2548,00;1652,00;1232,00;756,00;308,00;196,00;28,00;140,00;476,00;280,00;140,00;-;84,00;28,00;19684,00
"0309060036 INSTALACAO DE CATETER MONO LUMEN POR PUNCAO";-;-;85,00;425,00;425,00;510,00;935,00;170,00;510,00;340,00;850,00;680,00;595,00;1105,00;1275,00;595,00;850,00;425,00;425,00;170,00;85,00;170,00;85,00;-;85,00;-;-;-;10795,00
"0401010015 CURATIVO GRAU II C/ OU S/ DEBRIDAMENTO";-;-;-;-;-;32,40;32,40;-;-;-;-;-;-;-;291,60;291,60;-;-;-;-;-;-;-;-;-;-;-;-;648,00
"0401010058 EXCISAO DE LESAO E/OU SUTURA DE FERIMENTO DA PELE ANEXOS E MUCOSA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46,32;-;-;-;-;-;-;-;-;-;-;-;-;46,32
"0406020620 RETIRADA DE CATETER DE LONGA PERMANENCIA SEMI OU TOTALMENTE IMPLANTAVEL";-;-;-;-;-;-;-;-;20,74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20,74
"0407040196 PARACENTESE ABDOMINAL";-;-;-;-;-;-;-;-;-;-;-;24,54;-;-;-;-;-;-;-;12,27;-;-;-;-;-;-;-;-;36,81
"0412010127 TRAQUEOSTOMIA COM COLOCACAO DE ORTESE TRAQUEAL OU TRAQUEOBRONQUICA";-;-;-;-;455,26;455,26;1138,15;227,63;1365,78;455,26;2503,93;910,52;4324,97;3642,08;6373,64;5463,12;2959,19;3414,45;682,89;455,26;-;-;910,52;910,52;455,26;-;455,26;227,63;37786,58
"0412030128 RETIRADA DE DRENO TUBULAR TORACICO";-;-;-;33,97;-;-;-;-;67,94;-;33,97;-;-;33,97;33,97;33,97;-;33,97;-;-;-;-;-;-;-;-;-;-;271,76
"0412050170 TORACOCENTESE/DRENAGEM DE PLEURA";-;-;-;54,97;54,97;-;-;-;109,94;-;54,97;164,91;219,88;219,88;219,88;109,94;-;164,91;-;54,97;-;-;-;-;-;-;-;-;1429,22
"0417010044 ANESTESIA GERAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;84,00;-;-;-;-;-;84,00
"0417010060 SEDACAO";-;-;-;-;-;-;-;-;-;-;15,15;-;-;30,30;45,45;15,15;-;15,15;-;-;-;-;-;-;-;-;-;-;121,20
"0418010056 IMPLANTE DE CATETER DUPLO LUMEN NA IRA (INCLUI CATETER)";-;-;-;-;655,56;983,34;1311,12;983,34;1147,23;1311,12;1966,68;3277,80;5900,04;6227,82;4588,92;2622,24;1638,90;1802,79;655,56;163,89;-;327,78;983,34;327,78;163,89;-;163,89;-;37203,03
"0603030033 IMUNOGLOBULINA HUMANA 1,0 G INJETAVEL (POR FRASCO)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;164,96;-;-;494,88;-;-;-;-;659,84;-;-;-;-;-;1319,68
"0603070019 ALBUMINA HUMANA 20 POR CENTO (FRASCO-AMPOLA DE 50 ML)";-;-;-;-;-;275,00;330,00;825,00;-;275,00;1430,00;-;385,00;935,00;-;825,00;-;1100,00;-;495,00;-;-;-;-;715,00;330,00;275,00;990,00;9185,00
"0702050024 CANULA P/ TRAQUEOSTOMIA S/ BALAO";-;-;-;-;8,93;-;8,93;8,93;-;-;-;-;35,72;26,79;62,51;35,72;8,93;44,65;8,93;-;-;-;8,93;-;-;-;8,93;-;267,90
"0802010016 DIARIA DE ACOMPANHANTE ADULTO (COM PERNOITE)";-;-;16,00;-;-;160,00;56,00;-;-;-;-;-;-;-;-;-;-;-;-;-;24,00;-;-;-;-;-;-;-;256,00
"0802010024 DIARIA DE ACOMPANHANTE CRIANCA/ADOLESCENTE C/PERNOITE";-;-;24,00;-;-;-;-;-;-;-;-;-;-;72,00;48,00;-;-;-;-;-;-;-;56,00;-;-;-;-;-;200,00
"0802010040 DIARIA DE ACOMPANHANTE DE IDOSOS C/ PERNOITE";-;-;72,00;616,00;648,00;104,00;576,00;-;80,00;192,00;144,00;312,00;544,00;288,00;320,00;-;144,00;296,00;40,00;40,00;216,00;16,00;128,00;-;-;-;384,00;-;5160,00
"0802010059 DIARIA DE ACOMPANHANTE DE IDOSOS S/ PERNOITE";-;-;-;-;60,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60,00
"0802010083 DIARIA DE UNIDADE DE TERAPIA INTENSIVA ADULTO (UTI II)";-;-;9574,40;39255,04;50744,32;28723,20;43563,52;13882,88;32552,96;50265,60;81382,40;12446,72;50744,32;105318,40;106754,56;72765,44;80424,96;86648,32;30159,36;-;-;21063,68;14361,60;66338,24;57944,64;2400,00;49800,00;23400,00;1130514,56
"0802010156 DIARIA DE UNIDADE DE TERAPIA INTENSIVA EM PEDIATRIA (UTI II)";-;-;-;-;-;-;-;-;-;-;6702,08;21542,40;-;-;2393,60;-;-;24893,44;-;-;-;-;18191,36;-;-;-;-;-;73722,88
"0802010199 DIARIA DE PERMANENCIA A MAIOR";-;-;129,52;1538,05;2007,56;744,74;2428,50;129,52;2525,64;1295,20;1295,20;1942,80;1861,85;1780,90;2056,13;1878,04;3108,48;3221,81;712,36;582,84;356,18;194,28;1408,53;582,84;64,76;-;1052,35;679,98;33578,06
"0802010296 DIARIA DE UTI II ADULTO - SINDROME RESPIRATORIA AGUDA GRAVE (SRAG) - COVID19";-;115200,00;185600,00;339200,00;372800,00;161600,00;648000,00;70400,00;284800,00;324800,00;814400,00;849600,00;1758400,00;1691200,00;1816000,00;1326400,00;980800,00;572800,00;220800,00;188800,00;35200,00;65600,00;308800,00;96000,00;27200,00;-;-;-;13254400,00
"0802010300 DIARIA UTI II PEDIATRICA - SINDROME RESPIRATORIA AGUDA GRAVE (SRAG) - COVID19";-;-;-;-;-;-;-;-;-;-;-;-;-;28800,00;56000,00;-;-;-;-;-;-;-;-;-;-;-;-;-;84800,00
"0802010318 DIARIA DE LEITO DE SUPORTE VENTILATORIO PULMONAR";-;-;-;-;29680,64;75159,04;81861,12;41169,92;101488,64;56010,24;91914,24;74680,32;117765,12;96222,72;358082,56;236966,40;79467,52;3351,04;-;-;-;-;-;-;-;-;-;-;1443819,52
"Total";6001,00;145922,25;275369,50;514228,32;615485,51;369527,75;946218,08;184036,39;544821,50;589450,85;1207381,97;1230099,49;2437883,95;2453565,10;3275474,01;2166256,98;1866224,53;876831,64;342792,77;225261,93;49221,99;201664,17;590019,70;217210,21;104064,25;5866,41;71792,24;31158,36;21543830,85
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
