  Dados detalhados das AIH - por local internação - São Paulo
Quantidade aprovada por Procedimento e Ano/mês processamento
Município: 352440 JACAREI
Procedimento Principal: 0211030058 AVALIAÇÃO DE FUNÇÃO E MECÂNICA RESPIRATÓRIA COM TRANSDUTORES MICROPROCESSADOS, 0214010163 TESTE RÁPIDO PARA DETECÇÃO DE SARS-COVID-2, 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19, 0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO, 0304010383 RADIOTERAPIA DE TRAQUEIA, BRÔNQUIO, PULMÃO, PLEURA E MEDIASTINO
Grupo Procedimento Principal: 03 Procedimentos clínicos, 04 Procedimentos cirúrgicos, 06 Medicamentos
Subgrupo Proced.Principal: 0101 Ações coletivas/individuais em saúde, 0201 Coleta de material, 0303 Tratamentos clínicos (outras especialidades), 0601 Medicamentos de dispensação excepcional, 0602 Medicamentos estratégicos, 0603 Medicamentos de âmbito hospitalar e urgência, 0801 Ações relacionadas ao estabelecimento, 0802 Ações relacionadas ao atendimento, 0803 Autorização / Regulação
Forma organização Principal: 020807 Aparelho respiratório, 020904 Aparelho respiratório, 021107 Diagnóstico em otorrinolaringologia/fonoaudiologia, 021108 Diagnóstico em pneumologia, 030101 Consultas médicas/outros profissionais  de nivel superior, 030103 Atendimento pré-hospitalar de urgência, 030104 Outros atendimentos realizados por profissionais de níveis superior, 030106 Consulta/Atendimento ás urgências (em geral), 030110 Atendimentos de enfermagem (em geral), 030301 Tratamento de doenças infecciosas e parasitárias, 030906 Acessos venosos, 041201 Traqueia e brônquios, 041205 Pulmão, 041613 Otorrinolaringologia
Período:2019-2022
"Procedimento";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jul";"Total"
"0202030849 PESQUISA DE ANTICORPOS IGG CONTRA O VIRUS HERPES SIMPLES";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202030890 PESQUISA DE ANTICORPOS IGM CONTRA ANTIGENO CENTRAL DO VIRUS DA HEPATITE B (ANTI-HBC-IGM)";-;-;-;1;2;2;-;1;-;4;-;2;1;5;2;2;-;1;1;-;-;-;-;-;-;-;-;24
"0202030903 PESQUISA DE ANTICORPOS IGM CONTRA ARBOVIRUS";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"0202030911 PESQUISA DE ANTICORPOS IGM CONTRA O VIRUS DA HEPATITE A (HAV-IGG)";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"0202030962 PESQUISA DE ANTIGENO CARCINOEMBRIONARIO (CEA)";-;-;-;1;-;-;-;2;4;-;-;2;-;2;-;1;1;-;-;1;-;1;1;-;-;1;-;17
"0202030970 PESQUISA DE ANTIGENO DE SUPERFICIE DO VIRUS DA HEPATITE B (HBSAG)";-;-;1;2;2;2;-;10;-;5;-;5;1;9;2;3;3;2;1;-;-;2;3;-;-;-;-;53
"0202030989 PESQUISA DE ANTIGENO E DO VIRUS DA HEPATITE B (HBEAG)";-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;2;1;-;-;-;-;1;-;-;-;-;6
"0202050017 ANALISE DE CARACTERES FISICOS, ELEMENTOS E SEDIMENTO DA URINA";5;2;25;78;109;58;33;252;53;82;77;115;89;145;158;106;101;82;21;5;16;79;202;50;9;16;3;1971
"0202050025 CLEARANCE DE CREATININA";-;-;-;-;-;1;3;2;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;2;-;-;-;11
"0202050092 DOSAGEM DE MICROALBUMINA NA URINA";-;-;-;-;-;2;-;-;2;-;2;2;-;-;7;1;-;-;-;-;-;-;-;-;-;-;-;16
"0202060217 DOSAGEM DE GONADOTROFINA CORIONICA HUMANA (HCG, BETA HCG)";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"0202060250 DOSAGEM DE HORMONIO TIREOESTIMULANTE (TSH)";-;-;-;-;-;2;-;2;-;-;-;1;-;1;-;3;-;1;-;2;-;2;1;-;-;-;-;15
"0202060268 DOSAGEM DE INSULINA";8;-;16;20;114;64;142;98;26;133;46;175;59;312;341;306;113;80;92;-;-;23;51;-;30;-;-;2249
"0202060381 DOSAGEM DE TIROXINA LIVRE (T4 LIVRE)";-;-;-;-;-;2;-;2;-;-;-;1;-;1;-;3;-;1;-;2;-;1;1;-;-;-;-;14
"0202060390 DOSAGEM DE TRIIODOTIRONINA (T3)";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202080013 ANTIBIOGRAMA";-;-;-;-;2;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"0202080021 ANTIBIOGRAMA C/ CONCENTRACAO INIBITORIA MINIMA";13;-;3;26;24;15;44;91;36;59;43;69;44;114;65;57;46;23;16;3;5;16;36;19;11;1;-;879
"0202080048 BACILOSCOPIA DIRETA P/ BAAR TUBERCULOSE (DIAGNOSTICA)";-;-;-;-;2;3;-;6;-;5;-;4;2;2;-;2;-;6;6;-;-;-;4;-;-;-;-;42
"0202080072 BACTERIOSCOPIA (GRAM)";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202080080 CULTURA DE BACTERIAS P/ IDENTIFICACAO";-;-;1;2;2;2;4;85;21;34;19;47;24;44;39;29;28;5;10;2;5;19;18;11;4;2;-;457
"0202080110 CULTURA PARA BAAR";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202080137 CULTURA PARA IDENTIFICACAO DE FUNGOS";-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;8
"0202080153 HEMOCULTURA";11;-;7;21;20;13;32;135;47;65;48;83;64;123;82;69;64;20;22;4;13;41;36;17;10;6;-;1053
"0202090140 DOSAGEM DE SODIO E CLORO NO SUOR (C/ COLETA)";-;-;-;-;-;-;2;-;-;-;8;2;-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;46
"0202090191 MIELOGRAMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"0202120023 DETERMINACAO DIRETA E REVERSA DE GRUPO ABO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"0203010035 EXAME DE CITOLOGIA (EXCETO CERVICO-VAGINAL E DE MAMA)";-;-;-;-;1;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"0203020030 EXAME ANATOMO-PATOLOGICO PARA CONGELAMENTO / PARAFINA POR PECA CIRURGICA OU POR BIOPSIA (EXCETO COL";1;-;-;-;2;-;1;1;-;-;1;1;-;-;-;2;3;-;-;-;-;-;-;-;-;-;-;12
"0203020049 IMUNOHISTOQUIMICA DE NEOPLASIAS MALIGNAS (POR MARCADOR)";-;-;-;-;5;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"0204010063 RADIOGRAFIA DE CAVUM (LATERAL + HIRTZ)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"0204010080 RADIOGRAFIA DE CRANIO (PA + LATERAL)";-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;1;1;1;-;-;-;6
"0204010144 RADIOGRAFIA DE SEIOS DA FACE (FN + MN + LATERAL + HIRTZ)";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"0204020042 RADIOGRAFIA DE COLUNA CERVICAL (AP + LATERAL + TO / FLEXAO)";-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"0204020093 RADIOGRAFIA DE COLUNA TORACICA (AP + LATERAL)";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"0204030145 RADIOGRAFIA DE TORAX (PA + LATERAL + OBLIQUA)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"0204030153 RADIOGRAFIA DE TORAX (PA E PERFIL)";-;-;-;5;2;-;-;1;-;5;2;1;-;-;-;-;-;-;-;-;1;5;15;3;1;1;-;42
"0204030170 RADIOGRAFIA DE TORAX (PA)";19;3;21;80;96;34;132;313;67;159;73;140;88;237;122;120;96;44;37;10;12;61;88;38;20;8;3;2121
"0204040051 RADIOGRAFIA DE BRACO";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"0204040078 RADIOGRAFIA DE COTOVELO";-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"0204040108 RADIOGRAFIA DE MAO E PUNHO (P/ DETERMINACAO DE IDADE OSSEA)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"0204040116 RADIOGRAFIA DE ESCAPULA/OMBRO (TRES POSICOES)";-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;4
"0204050120 RADIOGRAFIA DE ABDOMEN AGUDO (MINIMO DE 3 INCIDENCIAS)";-;-;-;1;-;1;-;1;1;-;-;3;-;1;-;1;2;-;-;-;-;2;3;2;-;-;-;18
"0204050138 RADIOGRAFIA DE ABDOMEN SIMPLES (AP)";1;-;3;7;7;3;5;20;9;20;6;20;11;21;10;8;10;8;2;1;-;3;11;17;2;-;1;206
"0204060060 RADIOGRAFIA DE ARTICULACAO COXO-FEMORAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;3
"0204060095 RADIOGRAFIA DE BACIA";-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;1;1;-;-;-;6
"0204060117 RADIOGRAFIA DE COXA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;2
"0204060125 RADIOGRAFIA DE JOELHO (AP + LATERAL)";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0204060150 RADIOGRAFIA DE PE / DEDOS DO PE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"0205010032 ECOCARDIOGRAFIA TRANSTORACICA";-;-;7;2;4;5;5;23;3;4;6;10;5;13;7;11;5;-;3;3;3;5;3;5;-;1;1;134
"0205010040 ULTRASSONOGRAFIA DOPPLER COLORIDO DE VASOS";-;-;2;-;-;2;-;5;-;1;-;-;-;-;-;-;-;2;-;-;-;2;-;-;-;-;1;15
"0205010059 ULTRASSONOGRAFIA DOPPLER DE FLUXO OBSTETRICO";-;-;1;1;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"0205020038 ULTRASSONOGRAFIA DE ABDOMEN SUPERIOR";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"0205020046 ULTRASSONOGRAFIA DE ABDOMEN TOTAL";-;-;-;-;1;-;-;2;-;-;-;-;-;3;-;-;1;-;-;-;-;2;3;1;-;-;-;13
"0205020054 ULTRASSONOGRAFIA DE APARELHO URINARIO";-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;2;-;-;-;-;-;6
"0205020097 ULTRASSONOGRAFIA MAMARIA BILATERAL";-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"0205020100 ULTRASSONOGRAFIA DE PROSTATA POR VIA ABDOMINAL";-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"0205020127 ULTRASSONOGRAFIA DE TIREOIDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"0205020143 ULTRASSONOGRAFIA OBSTETRICA";-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"0205020186 ULTRASSONOGRAFIA TRANSVAGINAL";-;-;-;-;1;-;-;-;-;1;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"0206010010 TOMOGRAFIA COMPUTADORIZADA DE COLUNA CERVICAL C/ OU S/ CONTRASTE";-;-;-;-;-;-;-;3;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"0206010044 TOMOGRAFIA COMPUTADORIZADA DE FACE / SEIOS DA FACE / ARTICULACOES TEMPORO-MANDIBULARES";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
