 Procedimentos hospitalares do SUS - por local de internação - São Paulo
Valor total por Ano/mês atendimento e Forma organização
Município: 352440 JACAREI
Forma organização: 030301 Tratamento de doenças infecciosas e parasitárias, 030302 Tratamento de doenças do sangue, orgãos hematopoéticos e alguns transtornos imunitários, 030303 Tratamento de doenças endocrinas, metabólicas e nutricionais, 030304 Tratamento de doenças do sistema nervoso central e periférico, 030305 Tratamento de doenças do aparelho da visão, 030306 Tratamento de doenças cardiovasculares, 030307 Tratamento de doenças do aparelho digestivo, 030308 Tratamento de doenças da pele e do tecido  subcutâneo, 030309 Tratamento de doenças do sistema osteomuscular e do tecido conjuntivo, 030310 Tratamento durante a gestação, parto e puerpério, 030311 Tratamento de malformações congênitas, deformidades e anomalias cromossômicas, 030312 Tratamentos por medicina nuclear in vivo, 030313 Tratamento de pacientes sob cuidados prolongados, 030314 Tratamento de doenças do ouvido/apófise mastóide e vias aéreas, 030315 Tratamento das doenças do aparelho geniturinário, 030316 Tratamento de algumas afecçõess originadas no período neonatal, 030317 Tratamento dos transtornos mentais e comportamentais, 030318 Tratamento HIV/Aids, 030501 Tratamento dialítico, 030502 Tratamento em nefrologia em geral, 040305 Tratamento neurocirúrgico da dor funcional, 040307 Tratamento neuro-endovascular, 041301 Tratamento de queimados, 060440 Medicamentos para tratamento da hipercalemia e hiperfosfatemia, 060459 Retinóides para tratamento da acne, 060460 Retinóides para tratamento da psoríase
Período:2019-2022
"Ano/mês atendimento";"030301 Tratamento de doenças infecciosas e parasitárias";"030302 Tratamento de doenças do sangue, orgãos hematopoéticos e alguns transtornos imunitários";"030303 Tratamento de doenças endocrinas, metabólicas e nutricionais";"030304 Tratamento de doenças do sistema nervoso central e periférico";"030306 Tratamento de doenças cardiovasculares";"030307 Tratamento de doenças do aparelho digestivo";"030308 Tratamento de doenças da pele e do tecido  subcutâneo";"030309 Tratamento de doenças do sistema osteomuscular e do tecido conjuntivo";"030310 Tratamento durante a gestação, parto e puerpério";"030311 Tratamento de malformações congênitas, deformidades e anomalias cromossômicas";"030314 Tratamento de doenças do ouvido/apófise mastóide e vias aéreas";"030315 Tratamento das doenças do aparelho geniturinário";"030316 Tratamento de algumas afecçõess originadas no período neonatal";"030317 Tratamento dos transtornos mentais e comportamentais";"030318 Tratamento HIV/Aids";"030502 Tratamento em nefrologia em geral";"041301 Tratamento de queimados";"Total"
"..Outubro/2019";137917,75;5636,00;10816,96;61322,79;43175,54;28613,47;2764,11;206,70;5976,47;-;73016,16;6092,08;172277,02;11072,22;1699,64;16239,85;381,55;577208,31
"..Novembro/2019";189557,17;2227,12;4258,75;44938,35;47223,81;26694,79;5266,94;-;4039,41;5946,06;93546,90;5841,37;102479,64;7561,00;590,25;12281,65;-;552453,21
"..Dezembro/2019";170694,23;3248,58;7101,27;70932,98;30942,72;26231,64;7287,58;-;5632,27;-;54689,58;9807,79;167065,56;7771,32;889,02;7551,95;688,24;570534,73
"2020";3545270,90;33524,15;37214,10;588391,85;426290,53;402840,91;30325,11;2087,93;58764,03;-;847813,27;70135,00;1494781,53;104247,80;6230,28;279459,49;1032,61;7928409,49
"..Janeiro/2020";123267,66;2044,95;1939,60;47911,52;80776,67;38707,53;4245,70;-;4374,96;-;50996,38;8073,45;99836,19;12908,79;1460,86;24157,33;-;500701,59
"..Fevereiro/2020";206003,52;4496,89;3330,44;54362,79;33107,76;35885,94;2734,15;-;5139,63;-;87543,45;4702,39;141150,68;10367,04;-;35740,57;1032,61;625597,86
"..Março/2020";122427,43;3541,82;4011,17;64754,72;43668,58;13979,12;915,77;-;5243,36;-;104148,23;6146,44;153632,03;7540,76;674,59;18355,39;-;549039,41
"..Abril/2020";129474,96;1235,17;360,80;38153,96;12712,67;34583,85;1175,47;262,84;3429,51;-;29673,70;4895,51;132706,60;6312,45;-;25032,18;-;420009,67
"..Maio/2020";159696,38;1330,68;446,81;43882,03;21501,47;37440,35;1867,50;668,84;4596,71;-;53677,72;5954,10;123232,49;7077,60;-;42042,53;-;503415,21
"..Junho/2020";254218,54;4326,21;1561,07;37977,63;34973,26;26054,31;4580,92;277,45;4181,51;-;47609,79;3510,13;103319,46;7119,34;784,33;33211,98;-;563705,93
"..Julho/2020";241769,40;2784,44;2460,33;45263,78;33756,52;31641,13;1036,91;-;6248,12;-;129476,61;7187,05;127530,74;7019,55;602,85;27484,16;-;664261,59
"..Agosto/2020";324115,46;2387,42;13930,84;59427,02;21504,90;26418,62;5500,30;-;5347,66;-;72679,66;7056,10;94868,08;6961,99;-;19365,99;-;659564,04
"..Setembro/2020";412470,22;1570,86;3136,37;70275,39;15151,79;50270,39;1435,54;465,40;4437,19;-;52035,48;4466,47;111561,27;8108,52;-;18453,58;-;753838,47
"..Outubro/2020";301281,92;2878,63;4868,30;36241,72;44922,50;42385,06;625,64;198,70;5682,73;-;107955,04;4938,41;208541,89;10536,76;2101,73;16683,27;-;789842,30
"..Novembro/2020";357221,72;2939,35;360,80;39698,35;33952,42;31599,39;4505,12;214,70;4723,51;-;60242,44;6176,33;55729,29;10384,00;-;10616,81;-;618364,23
"..Dezembro/2020";913323,69;3987,73;807,57;50442,94;50261,99;33875,22;1702,09;-;5359,14;-;51774,77;7028,62;142672,81;9911,00;605,92;8315,70;-;1280069,19
"2021";8037536,05;29047,04;32114,61;545443,03;421433,08;414521,50;28114,18;4995,74;53471,05;3625,60;1060364,02;125519,40;1504658,91;101266,69;17545,47;189949,30;-;12569605,67
"  Janeiro/2021";626461,50;3884,21;4064,05;30110,45;17248,06;31140,71;1592,94;-;6115,08;-;31298,43;1764,07;119684,39;9965,66;-;33957,99;-;917287,54
"  Fevereiro/2021";556859,48;1086,73;3038,57;48411,11;16694,36;25486,94;2841,23;-;4847,11;-;71219,26;1871,72;160587,03;3562,44;-;14759,93;-;911265,91
"  Março/2021";887910,01;3210,04;2290,58;35207,01;22268,75;30033,95;3022,53;1183,80;3457,68;-;111687,74;6314,07;122235,26;9451,35;-;14686,26;-;1252959,03
"  Abril/2021";1160370,11;1232,83;1558,36;67033,69;19028,73;50121,71;1351,12;-;3678,89;-;77917,81;9585,90;116528,01;5238,02;-;17154,18;-;1530799,36
"  Maio/2021";1219014,90;1180,13;1949,19;67212,14;19540,04;30490,59;1403,64;2777,38;3029,84;-;91778,74;4095,28;192944,12;6385,85;6982,96;6466,11;-;1655250,91
"  Junho/2021";1077760,59;675,15;1513,10;44319,55;21510,51;24330,41;1106,58;-;4411,57;-;94848,40;17050,56;115989,62;7411,08;-;21144,10;-;1432071,22
"  Julho/2021";760448,24;1107,15;1940,49;41467,80;63069,08;32024,51;2197,20;410,75;2555,73;-;68134,37;25187,66;105679,12;8120,70;430,00;1308,43;-;1114081,23
"  Agosto/2021";766291,47;2871,57;1930,01;25426,90;41176,15;26559,73;1579,05;-;3684,14;-;72656,11;8283,81;99062,83;10836,43;1364,24;19698,74;-;1081421,18
"  Setembro/2021";376321,72;1885,30;3061,00;36224,54;40345,52;27386,53;6312,09;-;5697,39;-;67635,80;3752,87;117529,93;10670,04;1947,08;13669,74;-;712439,55
"  Outubro/2021";267341,57;4366,49;2893,25;48227,02;57747,11;82216,13;2449,73;433,11;4625,60;3625,60;93576,46;15656,77;95554,80;16537,49;644,64;24242,78;-;720138,55
"  Novembro/2021";129437,56;4866,21;6058,30;73776,84;31107,69;30405,07;959,51;190,70;4445,92;-;141466,15;18661,69;144199,44;5521,44;-;14326,59;-;605423,11
"  Dezembro/2021";209318,90;2681,23;1817,71;28025,98;71697,08;24325,22;3298,56;-;6922,10;-;138144,75;13295,00;114664,36;7566,19;6176,55;8534,45;-;636468,08
"2022";3473473,81;67748,34;75975,01;845501,51;988186,02;419046,39;50236,61;1297,83;60790,14;-;1663706,75;212295,81;1470775,74;145192,75;3789,63;267914,69;-;9745931,03
"..Janeiro/2022";902801,86;6152,61;3877,38;67229,15;68266,75;33828,29;3204,10;-;4091,64;-;160745,95;17445,30;128127,87;8863,95;1600,09;14827,18;-;1421062,12
"..Fevereiro/2022";492090,29;2266,70;3506,60;42747,68;52038,31;20558,05;1792,60;-;4083,85;-;122363,90;11887,78;119986,49;7300,53;-;23049,76;-;903672,54
"..Março/2022";255791,89;13201,04;6532,30;46797,26;59288,46;34770,26;4924,38;744,69;5902,36;-;126266,48;31443,36;160111,26;12314,89;-;35153,71;-;793242,34
"..Abril/2022";271895,49;2974,35;4265,58;68701,56;99606,25;30569,74;5907,63;-;5496,18;-;106693,42;23812,03;82905,75;8514,00;514,25;29496,55;-;741352,78
"..Maio/2022";279729,02;7023,61;2163,61;39318,19;63649,71;43939,89;4101,95;354,44;4595,53;-;168995,39;10863,34;144353,62;13950,74;-;9042,43;-;792081,47
"..Junho/2022";237607,28;4184,10;9212,13;56719,64;111104,41;30169,83;8022,47;-;4256,36;-;181362,41;19936,53;173021,47;15112,80;-;3388,27;-;854097,70
"..Julho/2022";214636,09;5137,02;11486,66;70815,81;123602,40;30147,55;10065,66;-;5135,47;-;159873,37;10169,82;147172,37;15874,86;-;33041,08;-;837158,16
"..Agosto/2022";192426,47;7165,21;5163,96;108737,00;122739,35;51416,64;2388,01;-;3818,36;-;186885,00;13257,49;122703,96;13703,32;868,19;40984,31;-;872257,27
"..Setembro/2022";205851,24;1551,25;5975,73;88083,73;87441,02;48207,13;935,53;-;7410,56;-;149397,86;16609,17;195249,82;8718,83;-;19780,24;-;835212,11
"..Outubro/2022";119991,08;5763,81;8896,12;127771,55;72126,20;49685,68;4961,44;198,70;5957,46;-;160818,15;28519,89;159445,86;15272,92;807,10;30061,26;-;790277,22
"..Novembro/2022";247293,64;10197,92;11964,33;103455,44;83347,39;24307,12;2875,72;-;5888,98;-;90535,87;14020,74;37697,27;14960,96;-;21868,70;-;668414,08
"..Dezembro/2022";53359,46;2130,72;2930,61;25124,50;44975,77;21446,21;1057,12;-;4153,39;-;49768,95;14330,36;-;10604,95;-;7221,20;-;237103,24
"Total";17066326,95;185512,40;239848,20;2656840,77;2408578,75;1618053,56;168981,58;9009,59;222895,48;15356,13;4504868,28;502522,06;5953597,69;473226,36;39242,79;948478,16;2673,76;37016012,51
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
