 Procedimentos hospitalares do SUS - por local de internação - São Paulo
Valor total por Ano/mês atendimento e Forma organização
Município: 354990 SAO JOSE DOS CAMPOS, 355410 TAUBATE
Forma organização: 030301 Tratamento de doenças infecciosas e parasitárias, 030302 Tratamento de doenças do sangue, orgãos hematopoéticos e alguns transtornos imunitários, 030303 Tratamento de doenças endocrinas, metabólicas e nutricionais, 030304 Tratamento de doenças do sistema nervoso central e periférico, 030305 Tratamento de doenças do aparelho da visão, 030306 Tratamento de doenças cardiovasculares, 030307 Tratamento de doenças do aparelho digestivo, 030308 Tratamento de doenças da pele e do tecido  subcutâneo, 030309 Tratamento de doenças do sistema osteomuscular e do tecido conjuntivo, 030310 Tratamento durante a gestação, parto e puerpério, 030311 Tratamento de malformações congênitas, deformidades e anomalias cromossômicas, 030312 Tratamentos por medicina nuclear in vivo, 030313 Tratamento de pacientes sob cuidados prolongados, 030314 Tratamento de doenças do ouvido/apófise mastóide e vias aéreas, 030315 Tratamento das doenças do aparelho geniturinário, 030316 Tratamento de algumas afecçõess originadas no período neonatal, 030317 Tratamento dos transtornos mentais e comportamentais, 030318 Tratamento HIV/Aids, 030501 Tratamento dialítico, 030502 Tratamento em nefrologia em geral, 040305 Tratamento neurocirúrgico da dor funcional, 040307 Tratamento neuro-endovascular, 041301 Tratamento de queimados, 060440 Medicamentos para tratamento da hipercalemia e hiperfosfatemia, 060459 Retinóides para tratamento da acne, 060460 Retinóides para tratamento da psoríase
Período:2019-2022
"Ano/mês atendimento";"030301 Tratamento de doenças infecciosas e parasitárias";"030302 Tratamento de doenças do sangue, orgãos hematopoéticos e alguns transtornos imunitários";"030303 Tratamento de doenças endocrinas, metabólicas e nutricionais";"030304 Tratamento de doenças do sistema nervoso central e periférico";"030305 Tratamento de doenças do aparelho da visão";"030306 Tratamento de doenças cardiovasculares";"030307 Tratamento de doenças do aparelho digestivo";"030308 Tratamento de doenças da pele e do tecido  subcutâneo";"030309 Tratamento de doenças do sistema osteomuscular e do tecido conjuntivo";"030310 Tratamento durante a gestação, parto e puerpério";"030311 Tratamento de malformações congênitas, deformidades e anomalias cromossômicas";"030314 Tratamento de doenças do ouvido/apófise mastóide e vias aéreas";"030315 Tratamento das doenças do aparelho geniturinário";"030316 Tratamento de algumas afecçõess originadas no período neonatal";"030317 Tratamento dos transtornos mentais e comportamentais";"030318 Tratamento HIV/Aids";"030501 Tratamento dialítico";"030502 Tratamento em nefrologia em geral";"040305 Tratamento neurocirúrgico da dor funcional";"041301 Tratamento de queimados";"Total"
"..Junho/2019";348435,49;25312,13;14781,33;179242,99;510,17;577850,73;159183,90;13334,50;7903,02;24289,50;2327,05;725747,17;92157,29;541263,95;167562,43;12077,56;1910,12;202163,52;9897,78;15860,33;3121810,96
"..Julho/2019";355145,97;33669,22;18044,03;199045,18;229,90;447878,60;204132,12;25101,10;1474,05;26208,26;5854,89;509181,78;57561,31;493929,47;169040,81;7806,54;3884,60;239372,35;4548,54;37441,94;2839550,66
"..Agosto/2019";314843,06;43650,88;49120,49;259224,47;414,09;443687,50;158523,43;31183,51;1225,45;21206,24;47909,25;541615,83;92318,20;464334,49;168284,79;4596,14;1128,84;280165,70;3138,69;4439,87;2931010,92
"..Setembro/2019";387670,30;37702,89;28887,90;200656,78;557,24;412954,40;185508,82;21703,37;950,95;26916,39;29629,53;443404,03;115446,87;560140,74;182747,52;14303,42;6813,38;176287,52;5605,47;22381,81;2860269,33
"..Outubro/2019";265499,35;68446,69;85078,22;351232,09;1516,69;478475,32;171808,30;15682,02;8946,64;21555,88;17138,46;582441,48;75890,94;392668,91;135755,37;10054,37;791,24;249964,80;5573,07;37852,92;2976372,76
"..Novembro/2019";250477,66;47578,07;37205,96;324521,50;-;328389,92;166438,44;33434,72;4494,18;21768,45;47834,86;452820,14;49019,77;495965,81;170709,17;5954,96;3236,38;114986,15;5524,55;33974,16;2594334,85
"..Dezembro/2019";355323,21;41576,21;32658,20;238120,48;343,34;445004,36;153839,82;26819,15;2558,72;23112,05;8944,06;407138,74;61588,17;646748,83;165144,12;4022,28;10904,19;173686,67;-;46737,54;2844270,14
"2020";13535450,31;286002,61;478990,35;3641388,62;12083,15;4898622,54;1951697,96;180617,24;31883,24;268535,73;233043,12;7101426,35;966283,83;6165187,62;1619914,04;74693,88;154891,59;1616507,24;23244,64;531205,00;43771669,06
"..Janeiro/2020";243128,19;23520,98;21769,10;262378,22;-;475209,40;160420,91;31621,51;4242,13;28144,45;4699,85;424841,53;104020,73;553145,96;167752,12;8119,23;2177,88;195293,22;2775,88;37780,96;2751042,25
"..Fevereiro/2020";309028,48;24283,92;24991,74;321093,37;-;440270,06;156048,02;11967,28;905,51;23038,64;26632,45;295795,76;79632,98;711023,03;184770,08;1609,65;21280,20;144558,10;4661,18;60766,48;2842356,93
"..Março/2020";344530,94;22426,89;50541,75;269077,92;1069,77;425350,32;125194,91;11828,59;1561,67;20742,72;16990,21;381496,86;75431,81;531019,47;150485,60;11100,32;14550,70;177931,59;-;61269,14;2692601,18
"..Abril/2020";607321,49;18577,74;13815,52;343859,35;-;309181,61;107291,27;7832,99;1012,81;13731,66;27392,13;529461,69;73062,36;542824,92;135403,89;9691,20;18697,62;125153,74;-;47410,35;2931722,34
"..Maio/2020";1188414,45;17964,17;98943,68;289463,33;925,43;402187,85;127220,63;13950,76;3225,16;18540,65;34722,34;685507,00;143518,58;528807,18;88153,60;3762,94;7856,56;112777,40;-;50225,06;3816166,77
"..Junho/2020";1401612,60;23433,15;52289,19;308592,16;511,17;357270,07;238715,68;16292,34;1502,49;12420,43;1323,58;661261,13;54456,18;504647,24;91072,92;3699,06;13806,89;146529,44;-;37640,59;3927076,31
"..Julho/2020";2186058,38;17671,88;20187,28;301232,40;6658,81;472701,30;209306,10;15851,68;157,73;16689,62;3796,89;688575,58;78707,80;457453,96;149037,04;2767,10;20230,17;199665,92;-;35214,18;4881963,82
"..Agosto/2020";1949752,24;21160,16;34431,95;271304,28;424,78;462974,33;144651,48;12945,66;1388,26;16402,87;19427,77;768668,69;65553,25;341305,74;113802,46;2767,10;13389,09;116847,11;-;31573,44;4388770,66
"..Setembro/2020";1523037,26;35242,44;38345,74;201408,31;736,55;426618,54;186994,43;5749,91;11061,37;18671,01;15993,75;804394,75;75934,86;487538,80;138784,70;2626,40;17646,75;66861,41;2049,08;41846,67;4101542,73
"..Outubro/2020";884142,64;17439,28;47656,22;461762,47;328,34;349921,61;132758,11;14783,53;1146,51;18592,62;19370,75;674053,50;81112,60;447182,33;125216,35;12485,70;8624,11;122326,68;4589,78;49774,10;3473267,23
"..Novembro/2020";911481,98;34614,70;29651,06;329589,66;367,31;378459,32;204481,39;13690,53;664,78;22544,16;18019,63;730037,85;85357,41;556173,21;112340,00;13020,51;3361,88;87250,12;8136,19;50708,55;3589950,24
"..Dezembro/2020";1986941,66;29667,30;46367,12;281627,15;1060,99;398478,13;158615,03;24102,46;5014,82;59016,90;44673,77;457332,01;49495,27;504065,78;163095,28;3044,67;13269,74;121312,51;1032,53;26995,48;4375208,60
"2021";33556930,58;407675,56;452649,33;3398194,60;10443,26;4552874,38;1841061,72;234143,41;32643,14;261936,13;199206,40;8031955,49;812629,30;5917680,92;1819134,46;84791,40;75478,03;1378637,60;38687,92;420583,39;63527337,02
"  Janeiro/2021";3296108,40;29238,10;32298,03;213577,54;-;279838,54;113364,30;52700,37;454,84;16016,69;11569,35;469198,28;31702,47;470369,46;114205,59;27518,65;21994,58;98394,02;-;36282,21;5314831,42
"  Fevereiro/2021";1816937,89;17124,58;22343,94;240320,83;327,34;308496,60;97603,64;13813,63;4238,09;13499,55;6986,94;333495,59;88243,46;462857,53;109021,59;1661,68;449,45;68540,24;2540,72;30974,15;3639477,44
"  Março/2021";4944957,73;26107,36;20538,92;207312,65;1059,84;347304,70;131983,80;18013,54;4042,25;20039,28;58433,02;540652,14;43871,48;537065,05;179668,03;3522,37;5011,68;114359,27;-;41960,75;7245903,86
"  Abril/2021";4848087,12;29345,07;21631,94;299897,60;229,90;183972,83;123675,13;15518,27;2593,93;43856,95;37473,60;512285,81;42814,80;580062,51;111996,44;4944,22;4557,46;143702,10;-;36889,54;7043535,22
"  Maio/2021";5635587,79;24108,16;23198,01;319063,46;1492,19;307387,48;101069,76;20318,04;1675,36;15377,24;3511,42;579217,10;64999,62;366329,49;132251,13;10956,95;1088,32;119703,71;-;36331,67;7763666,90
"  Junho/2021";5322134,84;19716,94;37329,46;266831,67;1434,60;246333,50;134067,56;13926,77;3034,40;27956,55;50392,36;580834,29;31582,64;495477,27;148363,26;2438,80;985,91;113820,98;1024,53;37607,92;7535294,25
"  Julho/2021";3187656,64;49016,43;63486,99;234630,28;910,99;388068,71;105682,37;13430,10;785,77;16653,27;3528,25;1044560,99;87656,96;572214,35;155212,48;3659,20;5141,19;104818,76;3565,25;49455,60;6090134,58
"  Agosto/2021";1916145,08;40119,45;36908,46;301300,16;327,34;496865,55;194708,04;17609,20;2487,23;22322,72;13897,82;1095087,67;90293,64;420736,47;194207,73;15733,73;3402,13;136823,80;8204,30;20553,50;5027734,02
"  Setembro/2021";929939,07;29378,46;84006,80;271453,73;844,43;485674,27;196832,55;24709,27;1556,87;21239,80;7809,19;485233,21;82802,67;487272,69;160920,77;3960,56;1721,45;127130,33;9060,78;31181,07;3442727,97
"  Outubro/2021";671022,33;34594,32;27769,18;317223,82;1327,92;572546,62;220625,07;16891,86;3588,03;23832,43;2499,57;652344,54;113945,86;337357,81;139007,88;984,90;2581,47;146211,18;4589,79;53400,24;3342344,82
"  Novembro/2021";395404,16;53603,90;52195,98;378459,99;657,98;492051,57;171979,79;15246,81;4271,61;19372,50;1578,47;755315,15;79593,06;738094,29;195203,21;6642,61;948,67;74311,51;4593,05;12865,82;3452390,13
"  Dezembro/2021";592949,53;55322,79;30941,62;348122,87;1830,73;444334,01;249469,71;11965,55;3914,76;21769,15;1526,41;983730,72;55122,64;449844,00;179076,35;2767,73;27595,72;130821,70;5109,50;33080,92;3629296,41
"2022";8545368,84;411537,79;580318,32;4129608,09;22974,00;6452271,37;2654298,72;211971,45;63064,50;332761,23;234184,39;6569953,72;828716,84;6710121,02;1916422,67;63147,54;61518,32;2118307,99;50210,64;420373,94;42377131,38
"..Janeiro/2022";1837134,79;55556,46;55630,95;379531,99;6181,69;462644,31;177761,57;14870,41;7543,76;23850,69;64752,45;851404,46;68251,89;569120,11;141735,45;1735,30;14002,67;146002,94;3081,62;18770,36;4899563,87
"..Fevereiro/2022";1435750,89;19493,51;29769,17;307397,61;1106,26;437689,93;181435,73;9844,18;8699,08;25506,76;36041,91;409310,04;113391,09;415879,11;181182,72;843,61;641,68;181616,67;5081,43;33442,68;3834124,06
"..Março/2022";761116,97;19791,03;71988,19;297443,15;1545,25;531418,56;192024,23;16143,64;5710,07;30198,10;577,50;438124,32;52519,34;790591,34;198992,02;12635,18;20771,29;126322,40;4106,15;26054,19;3598072,92
"..Abril/2022";572722,67;32244,22;45654,83;324319,92;3514,46;697829,97;260282,79;15077,14;4624,00;24150,62;6119,19;454348,90;69723,82;625997,15;157609,30;2317,09;1383,64;115038,02;3089,61;32919,11;3448966,45
"..Maio/2022";564991,67;49073,80;61321,02;404258,91;2415,62;626621,54;329419,20;11198,40;7558,22;33552,00;2456,67;789147,49;65804,30;690739,91;182351,98;10178,45;1348,87;146584,73;1516,18;17178,12;3997717,08
"..Junho/2022";648344,29;28467,75;73056,23;424296,87;1353,31;658867,70;276359,54;34419,82;3777,88;34477,45;15142,01;699568,98;54201,02;567779,67;176448,53;2336,17;1285,68;343800,59;4137,54;41259,92;4089380,95
"..Julho/2022";611734,42;52038,81;29482,38;313758,84;1491,09;557909,65;281802,12;14952,62;7883,85;30693,40;366,74;560893,26;65450,07;791388,94;153037,05;2997,74;1963,78;198513,31;4098,15;29458,19;3709914,41
"..Agosto/2022";496627,27;36964,62;38310,28;357270,85;3244,75;556765,21;199976,91;13726,40;3583,75;30061,34;23129,13;658738,96;87789,10;747004,07;166480,25;6138,22;-;252413,94;2621,35;43207,55;3724053,95
"..Setembro/2022";362575,15;35480,55;52246,98;486515,15;229,90;698932,71;167451,90;32528,55;3289,39;23529,44;58056,96;586779,18;92244,95;577331,80;190240,40;18457,35;862,29;143489,06;-;58025,37;3588267,08
"..Outubro/2022";480406,92;32938,77;64897,45;387957,68;510,17;564820,63;268180,82;9924,32;3731,98;25890,07;19079,95;380826,78;69264,15;457240,31;147545,32;2016,70;5414,58;251831,13;6686,55;43050,67;3222214,95
"..Novembro/2022";462344,28;27670,46;28258,97;307811,37;753,70;426601,11;154312,62;18549,31;2503,39;28408,52;8461,88;477268,05;63847,30;345704,42;164301,34;887,44;12681,25;139172,89;10662,51;44164,76;2724365,57
"..Dezembro/2022";311619,52;21817,81;29701,87;139045,75;627,80;232170,05;165291,29;20736,66;4159,13;22442,84;-;263543,30;26229,81;131344,19;56498,31;2604,29;1162,59;73522,31;5129,55;32843,02;1540490,09
"Total";59569817,79;1610409,24;1917144,21;14662076,86;54416,39;21475432,16;8536112,57;943222,65;205339,62;1185100,38;954017,94;28651357,09;3531198,55;25703976,41;8749456,16;309381,24;326588,79;7742461,30;204038,35;1782999,44;188114547,14
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
